index,pred_class,true_bbox,cam_bboxes,densenet_adv_iou
german_shorthaired_60,14,"[94.976, 75.976, 49.728, 81.536]","[72, 65, 85, 76]",0.44409630308259695
american_bulldog_92,1,"[49.992000000000004, 47.04, 107.968, 175.168]","[85, 71, 74, 68]",0.26135028228123036
samoyed_82,29,"[68.544, 36.064, 103.488, 142.912]","[60, 36, 71, 70]",0.2837833003237973
staffordshire_bull_terrier_89,34,"[49.728, 45.96, 114.24000000000001, 121.408]","[91, 41, 72, 73]",0.34434239307638975
pug_58,25,"[77.24799999999999, 64.06400000000001, 94.08, 123.2]","[105, 57, 74, 69]",0.3263351311774358
British_Shorthair_32,9,"[36.288000000000004, 21.784, 152.32, 186.816]","[70, 59, 76, 75]",0.2003105648734314
Sphynx_34,33,"[46.64, 30.912, 128.576, 193.088]","[68, 66, 85, 84]",0.28759611620099346
Abyssinian_92,0,"[43.504000000000005, 21.056, 155.45600000000002, 202.94400000000002]","[64, 69, 72, 94]",0.21452437493500365
german_shorthaired_97,14,"[0.0, 59.848, 147.392, 126.784]","[67, 76, 77, 73]",0.30079819359139787
British_Shorthair_37,9,"[66.304, 65.184, 81.536, 112.896]","[66, 58, 77, 73]",0.516229033170582
miniature_pinscher_31,21,"[98.11200000000001, 39.24, 91.392, 139.776]","[105, 66, 73, 72]",0.41144763193739026
beagle_4,35,"[105.72800000000001, 57.608000000000004, 60.928000000000004, 93.632]","[98, 64, 76, 69]",0.6233017144289031
great_pyrenees_93,15,"[40.136, 19.712, 145.6, 198.464]","[91, 30, 73, 71]",0.1793651618053021
american_bulldog_79,1,"[28.672, 65.112, 180.992, 133.504]","[55, 67, 76, 71]",0.22331519968443225
american_bulldog_212,1,"[9.856, 41.888, 214.144, 153.66400000000002]","[34, 85, 95, 77]",0.2222983738688029
Ragdoll_261,26,"[1.792, 16.992, 221.76, 202.048]","[77, 67, 95, 79]",0.16749927352853392
japanese_chin_20,17,"[36.512, 39.424, 146.94400000000002, 163.968]","[103, 42, 68, 69]",0.1947363592828175
Russian_Blue_44,27,"[37.896, 10.752, 147.392, 213.248]","[66, 33, 81, 69]",0.17781779925930424
miniature_pinscher_49,10,"[44.992000000000004, 10.752, 138.88, 213.248]","[73, 56, 80, 84]",0.22690527824032838
boxer_24,8,"[77.952, 36.512, 116.032, 159.488]","[98, 54, 71, 72]",0.2762390393882597
yorkshire_terrier_77,36,"[71.456, 66.304, 75.264, 102.144]","[69, 83, 71, 72]",0.6275168787978394
chihuahua_6,10,"[23.296, 40.584, 78.4, 90.944]","[31, 33, 73, 80]",0.6521278032988291
British_Shorthair_46,9,"[0.896, 32.480000000000004, 166.208, 160.832]","[75, 57, 79, 67]",0.19800561579210516
staffordshire_bull_terrier_202,34,"[44.576, 59.584, 151.424, 139.776]","[93, 71, 79, 88]",0.3284599641517963
japanese_chin_57,17,"[0.448, 72.80000000000001, 172.48, 101.696]","[63, 69, 73, 79]",0.3080942178877868
boxer_63,8,"[37.0, 8.512, 139.328, 215.488]","[64, 27, 70, 70]",0.16320542345461958
japanese_chin_50,17,"[73.024, 57.120000000000005, 65.408, 102.144]","[61, 41, 75, 83]",0.48444192013164694
Persian_81,23,"[0.0, 33.824, 219.52, 144.256]","[130, 57, 65, 61]",0.12520890339752327
miniature_pinscher_1,21,"[72.128, 55.328, 110.656, 111.104]","[98, 77, 74, 70]",0.4213326333047258
english_cocker_spaniel_57,12,"[38.08, 42.824, 148.288, 143.36]","[86, 64, 72, 76]",0.25740210170170785
american_bulldog_3,1,"[127.68, 56.064, 42.112, 79.296]","[116, 65, 55, 58]",0.5976523806074109
Maine_Coon_71,23,"[2.688, 37.0, 220.864, 148.736]","[36, 62, 76, 67]",0.15500559124771637
Russian_Blue_221,7,"[57.49333333333334, 73.54666666666667, 137.38666666666668, 85.12]","[80, 65, 70, 71]",0.3556388652842407
beagle_1,4,"[26.88, 50.224000000000004, 145.15200000000002, 143.808]","[90, 61, 72, 70]",0.2414484745092222
Abyssinian_71,0,"[50.554621848739494, 59.89915966386555, 162.6890756302521, 108.10084033613445]","[56, 92, 96, 70]",0.38210420007401014
japanese_chin_92,17,"[86.912, 70.6, 109.76, 81.536]","[74, 55, 83, 75]",0.3780914660344143
Persian_46,23,"[0.0, 28.0, 223.104, 167.552]","[27, 72, 67, 67]",0.1200860700934262
keeshond_79,18,"[47.04, 39.647999999999996, 106.176, 156.352]","[61, 49, 71, 72]",0.30793641129876925
basset_hound_73,3,"[29.344, 24.64, 163.072, 199.36]","[74, 67, 83, 80]",0.20424463463617326
english_cocker_spaniel_44,13,"[34.048, 54.472, 145.15200000000002, 116.928]","[28, 51, 71, 70]",0.24522308847139992
staffordshire_bull_terrier_85,8,"[0.0, 58.952, 134.4, 126.784]","[54, 73, 62, 67]",0.24378263893896776
yorkshire_terrier_2,36,"[55.816, 86.016, 90.496, 81.984]","[75, 90, 75, 67]",0.6232330453350613
pomeranian_28,24,"[37.448, 16.128, 147.84, 202.496]","[60, 38, 69, 77]",0.17747264143489255
yorkshire_terrier_53,36,"[62.944, 0.0, 129.92000000000002, 189.504]","[93, 37, 66, 79]",0.21177594753969084
shiba_inu_99,31,"[59.584, 37.0, 139.328, 124.096]","[60, 43, 64, 65]",0.24060084293505904
havanese_80,16,"[0.0, 37.0, 206.976, 137.536]","[67, 80, 92, 79]",0.25531629854446114
japanese_chin_74,17,"[71.232, 58.912, 152.768, 137.088]","[47, 70, 77, 69]",0.1610013495213178
Abyssinian_89,0,"[0.0, 22.896, 215.936, 163.52]","[104, 35, 81, 91]",0.20875192091416228
english_setter_82,13,"[15.68, 64.392, 172.032, 90.944]","[130, 58, 71, 62]",0.19059527908725385
american_pit_bull_terrier_1,34,"[25.088, 56.712, 187.71200000000002, 118.272]","[74, 49, 70, 69]",0.1886538097539826
Russian_Blue_94,27,"[39.848, 44.800000000000004, 105.28, 179.20000000000002]","[91, 47, 64, 74]",0.20439518808877236
pug_26,25,"[32.344, 46.144, 158.592, 177.856]","[75, 70, 78, 74]",0.20463340258615506
Persian_75,23,"[29.344, 0.0, 166.208, 223.552]","[90, 46, 63, 63]",0.1068195184168877
american_pit_bull_terrier_73,2,"[86.464, 58.464, 73.92, 117.824]","[94, 67, 70, 70]",0.518470495792254
pug_88,25,"[42.376, 24.192, 134.848, 181.44]","[82, 29, 72, 70]",0.20599325001318355
german_shorthaired_33,14,"[32.376, 21.056, 159.488, 196.672]","[69, 31, 74, 89]",0.2099670662684208
saint_bernard_196,17,"[54.312, 20.16, 157.696, 168.0]","[46, 29, 80, 67]",0.1775647257254685
samoyed_70,15,"[85.12, 64.776, 48.384, 99.456]","[67, 45, 81, 79]",0.3433544785398276
Persian_5,23,"[4.48, 46.93333333333334, 200.48000000000002, 124.69333333333334]","[127, 48, 66, 64]",0.16897000662908587
yorkshire_terrier_30,36,"[71.232, 47.128, 75.264, 120.96000000000001]","[73, 69, 74, 76]",0.610976912015096
boxer_194,8,"[0.0, 29.344, 194.43200000000002, 164.416]","[90, 61, 69, 56]",0.12087188527516131
pug_47,25,"[24.64, 45.96, 167.104, 139.776]","[43, 71, 75, 68]",0.21834875616053803
havanese_88,16,"[34.944, 41.480000000000004, 137.984, 129.92000000000002]","[69, 59, 81, 72]",0.3253215051134649
Russian_Blue_30,27,"[0.0, 37.448, 147.392, 150.08]","[43, 53, 76, 69]",0.237064186696318
miniature_pinscher_77,21,"[55.096000000000004, 31.808, 119.168, 188.608]","[66, 41, 66, 86]",0.2525356098630404
Persian_38,23,"[75.712, 75.03999999999999, 148.288, 120.96000000000001]","[81, 89, 64, 58]",0.20694749870408044
Bengal_199,0,"[25.39271255060729, 21.720647773279353, 143.28744939271255, 180.46963562753038]","[62, 57, 77, 81]",0.24119230643355793
newfoundland_62,22,"[75.264, 73.736, 68.992, 111.104]","[67, 87, 83, 74]",0.5867017803205609
wheaten_terrier_87,35,"[83.328, 67.424, 37.632, 52.416000000000004]","[66, 51, 82, 75]",0.3207347824390245
basset_hound_8,3,"[10.304, 38.0, 121.408, 137.088]","[44, 43, 81, 80]",0.3893393150618181
Persian_58,23,"[0.0, 58.056, 198.464, 124.096]","[85, 72, 71, 66]",0.19026668912139505
newfoundland_30,22,"[77.056, 86.392, 79.296, 66.752]","[70, 75, 72, 72]",0.6017583697507801
havanese_26,16,"[47.752, 38.08, 118.72, 154.112]","[62, 87, 75, 76]",0.311540498988099
samoyed_51,29,"[45.024, 34.944, 126.784, 188.16]","[78, 48, 77, 75]",0.24208073799307708
beagle_201,4,"[1.344, 56.944, 138.43200000000002, 106.176]","[63, 57, 70, 69]",0.32861264974221216
american_bulldog_61,1,"[14.336, 74.632, 189.952, 102.592]","[77, 72, 84, 78]",0.3212251504278865
Russian_Blue_83,27,"[66.304, 60.744, 112.896, 123.2]","[86, 79, 66, 66]",0.3131833090379009
Persian_270,26,"[0.7466666666666667, 14.973333333333333, 223.25333333333333, 197.86666666666667]","[62, 88, 78, 74]",0.13066393497513853
Bengal_87,5,"[77.504, 57.568, 74.368, 100.352]","[90, 65, 67, 70]",0.5537042427233213
newfoundland_87,22,"[28.896, 5.376, 157.248, 218.624]","[86, 33, 77, 85]",0.1903823505065821
yorkshire_terrier_4,36,"[39.872, 66.08, 170.24, 120.96000000000001]","[59, 83, 68, 68]",0.22455071209770452
staffordshire_bull_terrier_26,34,"[93.584, 58.688, 75.712, 133.056]","[87, 53, 63, 67]",0.31921291744236785
american_bulldog_45,1,"[67.464, 37.632, 103.488, 180.544]","[90, 36, 72, 75]",0.2809592985733112
shiba_inu_63,31,"[14.336, 51.792, 139.776, 122.75200000000001]","[102, 51, 62, 62]",0.1790731638200608
Persian_87,23,"[50.992000000000004, 42.56, 129.92000000000002, 167.104]","[70, 31, 69, 67]",0.1699571443696603
British_Shorthair_84,9,"[0.448, 28.0, 167.552, 167.104]","[49, 42, 69, 66]",0.1626509350388949
British_Shorthair_47,26,"[0.0, 49.096000000000004, 166.208, 136.64000000000001]","[72, 65, 74, 69]",0.22482832943614456
basset_hound_94,3,"[49.28, 51.784, 150.976, 85.568]","[59, 78, 68, 62]",0.3081154506636813
japanese_chin_21,17,"[33.6, 54.879999999999995, 145.6, 141.12]","[80, 70, 76, 75]",0.27741178889138074
keeshond_87,18,"[0.0, 36.064, 185.472, 158.144]","[64, 70, 82, 79]",0.22085633915881084
pug_70,25,"[60.480000000000004, 65.152, 142.464, 113.34400000000001]","[61, 62, 72, 67]",0.2807468120820163
Abyssinian_217,0,"[48.73770491803279, 13.77049180327869, 151.47540983606558, 175.34426229508196]","[88, 73, 80, 77]",0.2319247070555971
shiba_inu_6,31,"[76.16, 50.024, 127.68, 135.744]","[66, 44, 66, 70]",0.19437113714810464
Bengal_24,5,"[30.464000000000002, 80.864, 150.976, 61.376000000000005]","[70, 73, 76, 66]",0.44792688486794857
pomeranian_89,24,"[28.448, 0.0, 167.552, 223.552]","[56, 54, 92, 75]",0.18421327129868165
leonberger_197,19,"[71.68, 60.704, 120.06400000000001, 124.544]","[122, 59, 70, 65]",0.29257034094433376
British_Shorthair_3,9,"[54.57454545454546, 56.43636363636364, 98.56, 114.8509090909091]","[98, 42, 76, 81]",0.26582807142701026
boxer_40,8,"[40.136, 10.304, 143.36, 213.696]","[74, 38, 78, 78]",0.19859340404793993
leonberger_194,19,"[23.296, 45.024, 184.12800000000001, 129.024]","[63, 61, 75, 67]",0.21151721932310025
american_pit_bull_terrier_38,1,"[12.992, 38.896, 187.264, 115.136]","[124, 61, 69, 75]",0.2400186125988198
yorkshire_terrier_45,36,"[41.928, 4.48, 143.36, 219.52]","[72, 55, 79, 75]",0.18827223072743124
miniature_pinscher_80,21,"[49.448, 45.696, 124.096, 109.76]","[65, 80, 71, 71]",0.37009636196259976
beagle_37,4,"[29.064, 0.0, 168.448, 206.528]","[68, 96, 81, 73]",0.16996640188561465
Abyssinian_72,0,"[66.12, 0.0, 120.06400000000001, 179.648]","[75, 0, 72, 97]",0.323794178314494
japanese_chin_43,17,"[52.6, 23.296, 116.928, 181.888]","[45, 99, 78, 69]",0.2229054425773466
chihuahua_199,10,"[47.04, 34.72, 118.72, 159.04000000000002]","[101, 41, 71, 79]",0.2640647333838307
Maine_Coon_46,26,"[3.136, 32.0, 136.64000000000001, 158.144]","[71, 39, 80, 80]",0.24446391738740444
american_bulldog_208,1,"[12.544, 42.376, 91.392, 143.808]","[35, 43, 76, 75]",0.3781403615736975
pomeranian_97,15,"[52.416000000000004, 91.656, 37.184, 49.728]","[33, 67, 84, 84]",0.26205866666666666
Maine_Coon_50,20,"[77.768, 36.288000000000004, 76.608, 60.480000000000004]","[78, 28, 77, 69]",0.8671284563265644
english_setter_72,13,"[37.448, 42.56, 144.256, 181.44]","[74, 56, 78, 75]",0.22350587491725468
pug_6,25,"[12.544, 64.776, 118.272, 120.06400000000001]","[25, 71, 73, 76]",0.39069846370535993
Abyssinian_63,0,"[26.880000000000003, 26.493333333333332, 197.12, 170.24]","[46, 50, 63, 70]",0.1314154081937799
wheaten_terrier_80,36,"[28.448, 0.0, 167.104, 206.976]","[74, 38, 90, 96]",0.24980832484799217
Siamese_247,32,"[31.360000000000003, 28.933333333333334, 174.72, 163.52]","[62, 56, 69, 71]",0.17147228688630353
newfoundland_5,22,"[30.912, 61.672, 96.768, 122.75200000000001]","[45, 74, 76, 78]",0.4990543586656072
scottish_terrier_97,30,"[66.52799999999999, 9.408, 120.06400000000001, 214.592]","[86, 55, 69, 71]",0.19014333373527953
miniature_pinscher_45,10,"[54.432, 91.84, 98.11200000000001, 132.16]","[67, 102, 83, 80]",0.5120895583680419
scottish_terrier_74,36,"[11.200000000000001, 25.96, 209.216, 170.24]","[139, 47, 85, 76]",0.17240830189088385
samoyed_35,29,"[38.344, 32.256, 147.84, 191.744]","[73, 65, 77, 72]",0.1955732643524699
english_cocker_spaniel_84,12,"[20.608, 39.688, 203.392, 146.496]","[42, 76, 77, 74]",0.1912329882140788
great_pyrenees_37,15,"[21.504, 87.584, 150.08, 79.296]","[101, 69, 83, 79]",0.300450966641262
Egyptian_Mau_3,11,"[62.25090909090909, 7.330909090909091, 97.74545454545455, 210.96727272727273]","[76, 37, 61, 79]",0.2336927650449055
Siamese_80,32,"[3.584, 47.263999999999996, 178.304, 133.504]","[88, 70, 66, 65]",0.1802195612444499
pomeranian_51,24,"[69.44, 55.328, 64.512, 86.912]","[66, 49, 68, 72]",0.6761048931507653
Egyptian_Mau_2,11,"[39.42560553633218, 22.47750865051903, 124.78892733564014, 188.34602076124568]","[72, 76, 68, 64]",0.18516392831191214
basset_hound_54,3,"[51.072, 36.512, 106.176, 127.68]","[62, 85, 66, 66]",0.32132065017879236
american_pit_bull_terrier_90,2,"[65.224, 62.272, 120.96000000000001, 160.38400000000001]","[71, 84, 77, 79]",0.3135559148783659
english_cocker_spaniel_93,12,"[38.344, 20.608, 147.392, 175.616]","[61, 39, 71, 73]",0.20023648634481706
beagle_83,3,"[38.528, 57.568, 185.472, 137.536]","[73, 86, 78, 64]",0.19569504618162234
pomeranian_29,24,"[37.448, 22.848, 145.15200000000002, 190.4]","[70, 35, 77, 74]",0.20617332581180617
yorkshire_terrier_90,36,"[37.448, 16.576, 147.84, 207.424]","[83, 52, 77, 78]",0.1958548673248997
scottish_terrier_95,30,"[7.6160000000000005, 44.272, 133.056, 124.544]","[71, 60, 77, 66]",0.2696194010554692
american_pit_bull_terrier_89,14,"[107.968, 72.29599999999999, 58.24, 84.224]","[99, 68, 85, 80]",0.6042868972099029
american_bulldog_85,1,"[48.832, 28.448, 139.328, 140.672]","[69, 91, 74, 70]",0.2642918035688685
keeshond_49,18,"[70.56, 64.512, 89.152, 124.096]","[71, 67, 79, 77]",0.5498306465929441
miniature_pinscher_96,34,"[86.016, 45.512, 98.56, 140.224]","[89, 54, 69, 72]",0.3594665974144523
pug_52,25,"[6.72, 40.136, 191.744, 145.6]","[64, 45, 69, 72]",0.17795017899323642
wheaten_terrier_85,35,"[110.432, 30.016000000000002, 85.568, 190.4]","[107, 41, 79, 75]",0.34246254181504127
Persian_55,23,"[4.48, 11.064, 195.776, 206.08]","[104, 37, 64, 62]",0.09835045350345889
Birman_5,6,"[31.808, 40.136, 179.648, 135.296]","[52, 61, 67, 67]",0.18468952393057766
leonberger_50,19,"[0.448, 30.240000000000002, 223.104, 165.76]","[53, 51, 74, 76]",0.15207513728382918
english_setter_39,13,"[77.056, 47.263999999999996, 89.60000000000001, 143.36]","[65, 60, 75, 80]",0.3646407815584824
Persian_53,23,"[75.488, 26.432000000000002, 120.06400000000001, 197.568]","[93, 38, 68, 71]",0.2035344134353914
basset_hound_61,3,"[111.552, 38.0, 95.872, 120.512]","[115, 78, 73, 73]",0.4612364691690177
basset_hound_74,3,"[50.624, 60.832, 120.96000000000001, 142.016]","[61, 71, 68, 74]",0.29292846651454135
newfoundland_22,22,"[81.536, 58.056, 78.848, 103.04]","[74, 62, 80, 75]",0.6254302566135692
Sphynx_42,33,"[77.952, 36.96, 64.06400000000001, 155.904]","[77, 39, 76, 85]",0.4949322912150076
german_shorthaired_35,14,"[47.04, 19.616, 142.464, 193.088]","[81, 36, 88, 83]",0.26552189956225897
basset_hound_6,3,"[55.104, 58.608000000000004, 83.328, 128.12800000000001]","[69, 79, 67, 74]",0.46437787203196185
pomeranian_73,24,"[0.0, 45.96, 151.424, 139.776]","[67, 62, 78, 68]",0.25059718783963286
saint_bernard_26,28,"[0.448, 37.0, 219.96800000000002, 133.504]","[81, 76, 67, 78]",0.17795722348248474
japanese_chin_37,17,"[40.32, 50.888, 130.368, 122.304]","[103, 45, 74, 74]",0.27426058310463414
japanese_chin_49,17,"[0.448, 36.96, 128.12800000000001, 112.896]","[46, 42, 75, 72]",0.3733113187832576
scottish_terrier_193,30,"[34.944, 62.984, 178.752, 109.312]","[41, 75, 72, 65]",0.23951190392340838
newfoundland_20,22,"[18.368000000000002, 69.664, 134.4, 73.92]","[85, 65, 76, 72]",0.4208212042248814
keeshond_84,18,"[54.656, 28.448, 168.89600000000002, 145.6]","[83, 65, 96, 87]",0.33963289457794954
chihuahua_58,10,"[58.688, 84.03999999999999, 65.408, 91.84]","[68, 88, 78, 74]",0.5441953475119514
basset_hound_7,3,"[24.192, 55.472, 181.44, 128.576]","[128, 59, 68, 71]",0.206954232848127
german_shorthaired_34,14,"[73.016, 11.648, 96.32000000000001, 212.352]","[75, 29, 74, 89]",0.3219948286202912
saint_bernard_25,28,"[74.816, 92.512, 30.016000000000002, 68.096]","[49, 75, 75, 78]",0.2987001908156263
Ragdoll_41,26,"[36.736000000000004, 17.200000000000003, 131.264, 193.984]","[84, 25, 71, 71]",0.19797263007189964
newfoundland_54,22,"[35.392, 39.24, 140.224, 146.496]","[71, 75, 84, 82]",0.3353088531482001
leonberger_78,19,"[61.824, 28.0, 162.17600000000002, 167.104]","[94, 77, 77, 71]",0.20173239452824954
newfoundland_50,22,"[33.152, 71.864, 123.2, 92.736]","[86, 69, 72, 74]",0.4259738130547213
staffordshire_bull_terrier_77,1,"[60.928000000000004, 48.608000000000004, 94.08, 142.464]","[65, 57, 71, 74]",0.3920014069194614
Sphynx_87,33,"[26.88, 3.584, 141.12, 220.416]","[68, 50, 78, 106]",0.26580845026744726
basset_hound_77,3,"[69.888, 30.240000000000002, 87.808, 164.416]","[91, 85, 63, 65]",0.2836453984815024
Maine_Coon_269,20,"[28.0, 0.0, 141.62851782363978, 224.00000000000003]","[62, 38, 83, 83]",0.21714881125855381
pug_51,25,"[47.304, 11.648, 126.336, 197.12]","[84, 26, 67, 67]",0.18025685627853655
Persian_85,23,"[0.448, 28.0, 223.104, 168.0]","[90, 62, 67, 68]",0.1215533904324782
american_bulldog_76,1,"[75.264, 58.504000000000005, 90.048, 126.784]","[74, 79, 76, 70]",0.4547121141771119
great_pyrenees_80,15,"[54.216, 12.992, 133.952, 206.08]","[65, 0, 74, 90]",0.19948697364546322
american_pit_bull_terrier_20,2,"[192.5213849287169, 103.78615071283096, 31.478615071283098, 106.29735234215886]","[92, 62, 82, 83]",0.0
miniature_pinscher_86,21,"[31.808, 45.96, 84.224, 93.184]","[103, 66, 69, 76]",0.0785240507016638
pug_202,25,"[58.906666666666666, 51.52, 124.69333333333334, 156.05333333333334]","[71, 51, 67, 67]",0.22849286454375295
great_pyrenees_3,15,"[67.2, 45.512, 140.224, 140.672]","[79, 41, 82, 86]",0.3325118170017816
Birman_27,6,"[40.584, 13.44, 145.15200000000002, 189.504]","[72, 72, 74, 76]",0.20445790499896657
havanese_43,35,"[37.632, 44.128, 117.376, 137.088]","[73, 45, 80, 77]",0.38282647664663827
miniature_pinscher_199,21,"[45.18666666666667, 22.400000000000002, 139.62666666666667, 201.60000000000002]","[79, 83, 64, 72]",0.16370184437411325
saint_bernard_47,28,"[42.136, 32.256, 138.43200000000002, 177.856]","[98, 34, 80, 67]",0.217700674948515
newfoundland_66,22,"[54.656, 67.816, 97.664, 95.424]","[84, 67, 74, 70]",0.4836517869962058
Birman_9,6,"[76.16, 42.336, 70.784, 110.208]","[74, 33, 77, 65]",0.44441581020389936
yorkshire_terrier_57,36,"[49.728, 39.344, 125.888, 143.808]","[65, 65, 71, 72]",0.2823731930660979
Ragdoll_56,26,"[90.048, 43.72, 133.952, 137.536]","[95, 44, 73, 79]",0.3130288455980259
english_cocker_spaniel_40,12,"[18.816, 33.376, 200.256, 161.728]","[139, 41, 60, 66]",0.12227127274714009
pug_73,25,"[96.768, 54.472, 126.784, 131.264]","[130, 75, 69, 68]",0.2819343028640441
Egyptian_Mau_50,5,"[0.0, 69.20754716981132, 186.66666666666666, 126.44025157232704]","[63, 69, 75, 88]",0.2787917979098438
Sphynx_21,33,"[0.448, 52.68, 161.28, 133.504]","[83, 80, 73, 79]",0.2678398287097278
Russian_Blue_64,27,"[13.888, 40.096000000000004, 162.624, 155.904]","[65, 62, 89, 75]",0.26327484942751683
keeshond_48,18,"[0.448, 37.896, 223.552, 148.288]","[73, 70, 91, 84]",0.23058768594590992
miniature_pinscher_66,21,"[69.072, 38.528, 101.248, 176.96]","[86, 60, 63, 78]",0.2742670209956952
boxer_42,8,"[83.592, 23.296, 73.024, 182.784]","[77, 0, 76, 87]",0.2845638147161914
japanese_chin_9,17,"[21.056, 24.0, 190.848, 176.064]","[72, 43, 86, 77]",0.19707475663992433
chihuahua_72,10,"[51.52, 29.792, 169.344, 165.76]","[68, 63, 81, 77]",0.22219086114175401
basset_hound_34,3,"[28.448, 33.152, 135.296, 190.848]","[91, 41, 64, 84]",0.2082028595413541
havanese_36,35,"[27.776, 21.056, 191.744, 189.056]","[91, 70, 80, 77]",0.16992937660957105
beagle_61,4,"[51.072, 48.2, 126.784, 137.984]","[78, 56, 75, 71]",0.3043872325414723
British_Shorthair_50,9,"[0.896, 51.336, 162.624, 134.4]","[76, 64, 79, 68]",0.24578314452502764
german_shorthaired_56,14,"[59.328, 17.472, 119.616, 146.496]","[65, 0, 71, 94]",0.28957324768828463
Ragdoll_259,26,"[43.008, 35.088, 154.56, 150.528]","[74, 75, 79, 79]",0.26825003179972823
Ragdoll_7,6,"[37.896, 24.64, 147.84, 199.36]","[86, 33, 75, 68]",0.17303748618957285
Bombay_36,8,"[75.712, 78.176, 63.616, 52.416000000000004]","[70, 50, 82, 76]",0.46632640192440517
wheaten_terrier_91,35,"[51.879999999999995, 5.376, 129.92000000000002, 182.336]","[93, 0, 70, 88]",0.24033163158929383
Birman_64,6,"[0.0, 28.448, 200.256, 167.552]","[96, 78, 73, 77]",0.16752453917808732
english_cocker_spaniel_34,12,"[68.80799999999999, 49.28, 70.336, 89.152]","[82, 39, 73, 69]",0.42196349851659404
english_cocker_spaniel_90,12,"[83.104, 44.800000000000004, 68.992, 133.056]","[87, 54, 66, 71]",0.49998098482120706
Egyptian_Mau_87,11,"[3.3600000000000003, 41.24, 206.45333333333335, 126.18666666666667]","[91, 63, 78, 68]",0.20359548743687206
pomeranian_93,24,"[7.168, 34.96, 206.976, 155.45600000000002]","[59, 80, 87, 74]",0.20008912913381974
beagle_196,4,"[38.304, 59.584, 138.43200000000002, 153.216]","[71, 101, 79, 77]",0.2867987162147548
basset_hound_35,3,"[82.24799999999999, 95.872, 52.864000000000004, 61.824]","[83, 80, 67, 66]",0.5144296235426526
german_shorthaired_47,14,"[66.176, 20.16, 130.816, 190.848]","[70, 24, 81, 88]",0.2855086118472085
japanese_chin_95,17,"[0.0, 26.032, 217.28, 174.72]","[67, 60, 85, 75]",0.167925950614187
scottish_terrier_55,30,"[34.944, 38.512, 104.83200000000001, 140.224]","[71, 55, 69, 66]",0.30848075029491395
basset_hound_88,3,"[3.584, 38.792, 159.936, 132.16]","[97, 61, 67, 69]",0.2168079002533789
Bombay_42,30,"[1.792, 104.16, 155.008, 90.496]","[72, 95, 79, 69]",0.3204719554672883
leonberger_41,19,"[0.0, 46.816, 196.22400000000002, 149.184]","[79, 62, 76, 69]",0.17913824328941746
keeshond_96,18,"[28.0, 4.48, 105.28, 219.52]","[42, 25, 75, 72]",0.2336543062730954
Ragdoll_254,26,"[0.0, 40.986666666666665, 224.0, 144.85333333333335]","[71, 87, 83, 74]",0.18929245345045234
Russian_Blue_201,9,"[65.72800000000001, 38.976, 104.384, 168.448]","[68, 42, 75, 78]",0.33270250602638096
Ragdoll_67,6,"[3.584, 54.616, 209.66400000000002, 121.85600000000001]","[109, 77, 74, 71]",0.20564553445576944
pug_82,25,"[57.792, 48.647999999999996, 164.416, 136.192]","[72, 75, 79, 65]",0.2293214990647234
staffordshire_bull_terrier_90,34,"[15.68, 43.272, 163.072, 127.68]","[48, 42, 81, 76]",0.2892826041006518
german_shorthaired_53,14,"[34.688, 33.6, 154.56, 190.4]","[90, 79, 71, 74]",0.17853608834838283
yorkshire_terrier_78,36,"[17.92, 26.928, 151.424, 173.824]","[51, 50, 75, 80]",0.22795377911428094
pug_199,25,"[44.800000000000004, 33.6, 133.28, 160.16000000000003]","[95, 48, 68, 72]",0.22936247426043338
great_pyrenees_70,15,"[51.968, 38.304, 137.984, 153.216]","[37, 41, 81, 73]",0.21680001556447237
german_shorthaired_200,14,"[0.0, 73.28800000000001, 154.112, 112.44800000000001]","[59, 80, 88, 79]",0.40116364749828404
keeshond_89,18,"[6.72, 37.448, 217.28, 146.94400000000002]","[70, 77, 83, 69]",0.1793723809064108
great_pyrenees_196,15,"[19.712, 58.704, 175.616, 115.584]","[0, 54, 99, 74]",0.24827504405345777
havanese_85,16,"[76.608, 51.888, 113.34400000000001, 133.504]","[101, 71, 77, 76]",0.3867332423193964
japanese_chin_61,17,"[43.904, 78.176, 120.512, 75.712]","[97, 86, 78, 68]",0.46457419436292174
american_bulldog_57,1,"[34.944, 73.736, 142.016, 112.896]","[71, 92, 89, 71]",0.3941236755987509
boxer_196,8,"[0.0, 58.775999999999996, 163.52, 133.056]","[75, 70, 72, 70]",0.2316462076736049
havanese_199,12,"[86.016, 81.312, 113.792, 110.208]","[103, 101, 76, 72]",0.43633619186103473
english_setter_45,13,"[44.800000000000004, 62.536, 179.20000000000002, 123.648]","[57, 74, 90, 74]",0.30057241986468497
Maine_Coon_99,20,"[45.472, 35.392, 150.528, 188.608]","[71, 58, 68, 70]",0.16766003461954854
British_Shorthair_278,9,"[73.47200000000001, 49.992000000000004, 122.304, 135.744]","[75, 60, 77, 66]",0.3061070677318909
staffordshire_bull_terrier_49,34,"[39.24, 35.392, 142.464, 127.232]","[71, 37, 65, 70]",0.2510209151924123
havanese_32,12,"[28.672, 44.616, 166.208, 125.888]","[37, 53, 88, 78]",0.32805073665421697
havanese_35,16,"[32.256, 5.824, 167.104, 191.296]","[39, 53, 72, 73]",0.16442302037126041
Sphynx_44,33,"[82.88, 25.136, 140.224, 176.064]","[101, 65, 83, 88]",0.2958474624637554
