index,pred_class,true_bbox,cam_bboxes,mobilenet_adv_iou
Persian_270,20,"[0.7466666666666667, 14.973333333333333, 223.25333333333333, 197.86666666666667]","[32, 47, 161, 138]",0.502961071946921
Bengal_87,5,"[77.504, 57.568, 74.368, 100.352]","[108, 65, 59, 65]",0.3376248572638492
newfoundland_87,22,"[28.896, 5.376, 157.248, 218.624]","[59, 49, 136, 116]",0.41656553882652175
yorkshire_terrier_4,36,"[39.872, 66.08, 170.24, 120.96000000000001]","[59, 77, 84, 84]",0.34265350877192974
staffordshire_bull_terrier_26,8,"[93.584, 58.688, 75.712, 133.056]","[60, 47, 103, 73]",0.31911712078791826
american_bulldog_45,1,"[67.464, 37.632, 103.488, 180.544]","[87, 33, 93, 94]",0.3765712167148374
shiba_inu_63,31,"[14.336, 51.792, 139.776, 122.75200000000001]","[96, 57, 78, 87]",0.2676690710055541
Persian_87,23,"[50.992000000000004, 42.56, 129.92000000000002, 167.104]","[64, 34, 89, 76]",0.26709515050870647
British_Shorthair_84,9,"[0.448, 28.0, 167.552, 167.104]","[35, 42, 93, 96]",0.31887297936479
British_Shorthair_47,26,"[0.0, 49.096000000000004, 166.208, 136.64000000000001]","[62, 61, 109, 87]",0.39200391191029105
basset_hound_94,3,"[49.28, 51.784, 150.976, 85.568]","[66, 88, 83, 49]",0.31481460802895894
japanese_chin_21,17,"[33.6, 54.879999999999995, 145.6, 141.12]","[66, 74, 112, 88]",0.47967905110762254
keeshond_87,18,"[0.0, 36.064, 185.472, 158.144]","[29, 64, 152, 101]",0.5234002035761136
pug_70,1,"[60.480000000000004, 65.152, 142.464, 113.34400000000001]","[43, 62, 144, 88]",0.593601502869446
Abyssinian_217,0,"[48.73770491803279, 13.77049180327869, 151.47540983606558, 175.34426229508196]","[69, 70, 155, 154]",0.4491092523138056
shiba_inu_6,31,"[76.16, 50.024, 127.68, 135.744]","[61, 41, 88, 78]",0.2620655832697976
Bengal_24,5,"[30.464000000000002, 80.864, 150.976, 61.376000000000005]","[69, 93, 71, 56]",0.3587056914644041
pomeranian_89,24,"[28.448, 0.0, 167.552, 223.552]","[47, 38, 134, 81]",0.2897754850254914
leonberger_197,19,"[71.68, 60.704, 120.06400000000001, 124.544]","[117, 74, 74, 62]",0.3068229147263974
British_Shorthair_3,9,"[54.57454545454546, 56.43636363636364, 98.56, 114.8509090909091]","[84, 56, 83, 81]",0.44654385036444394
boxer_40,8,"[40.136, 10.304, 143.36, 213.696]","[58, 46, 120, 83]",0.3251134622481068
leonberger_194,19,"[23.296, 45.024, 184.12800000000001, 129.024]","[30, 49, 136, 104]",0.5953630945484437
american_pit_bull_terrier_38,1,"[12.992, 38.896, 187.264, 115.136]","[54, 43, 143, 104]",0.6897694312211878
yorkshire_terrier_45,36,"[41.928, 4.48, 143.36, 219.52]","[55, 32, 126, 138]",0.5525194173651603
miniature_pinscher_80,21,"[49.448, 45.696, 124.096, 109.76]","[69, 75, 80, 84]",0.4629130130431277
beagle_37,4,"[29.064, 0.0, 168.448, 206.528]","[41, 86, 144, 82]",0.3394154022434192
Abyssinian_72,0,"[66.12, 0.0, 120.06400000000001, 179.648]","[68, 0, 108, 131]",0.6559335674102894
japanese_chin_43,17,"[52.6, 23.296, 116.928, 181.888]","[47, 100, 89, 74]",0.2846390118061407
chihuahua_199,10,"[47.04, 34.72, 118.72, 159.04000000000002]","[104, 50, 83, 68]",0.2066207432490088
Maine_Coon_46,26,"[3.136, 32.0, 136.64000000000001, 158.144]","[74, 63, 71, 64]",0.19184426221858022
american_bulldog_208,1,"[12.544, 42.376, 91.392, 143.808]","[30, 47, 92, 111]",0.541780659765434
pomeranian_97,29,"[52.416000000000004, 91.656, 37.184, 49.728]","[46, 94, 50, 64]",0.5360028210814157
Maine_Coon_50,20,"[77.768, 36.288000000000004, 76.608, 60.480000000000004]","[77, 36, 89, 76]",0.6849869662921347
english_setter_72,13,"[37.448, 42.56, 144.256, 181.44]","[43, 63, 144, 123]",0.6359908376121133
pug_6,25,"[12.544, 64.776, 118.272, 120.06400000000001]","[26, 64, 107, 92]",0.6602279674051372
Abyssinian_63,0,"[26.880000000000003, 26.493333333333332, 197.12, 170.24]","[41, 43, 117, 117]",0.4079241548219168
wheaten_terrier_80,35,"[28.448, 0.0, 167.104, 206.976]","[45, 28, 149, 119]",0.5126564129490451
Siamese_247,32,"[31.360000000000003, 28.933333333333334, 174.72, 163.52]","[43, 53, 111, 107]",0.4157126661254597
newfoundland_5,16,"[30.912, 61.672, 96.768, 122.75200000000001]","[44, 72, 85, 74]",0.5170545048393105
scottish_terrier_97,30,"[66.52799999999999, 9.408, 120.06400000000001, 214.592]","[66, 56, 118, 95]",0.4323017075471814
miniature_pinscher_45,21,"[54.432, 91.84, 98.11200000000001, 132.16]","[63, 106, 99, 95]",0.6135450076447974
scottish_terrier_74,30,"[11.200000000000001, 25.96, 209.216, 170.24]","[136, 63, 88, 89]",0.2090673215617863
samoyed_35,29,"[38.344, 32.256, 147.84, 191.744]","[62, 60, 115, 95]",0.3853964489629751
english_cocker_spaniel_84,12,"[20.608, 39.688, 203.392, 146.496]","[38, 76, 116, 90]",0.35038125604685555
great_pyrenees_37,15,"[21.504, 87.584, 150.08, 79.296]","[53, 82, 131, 67]",0.5437155514387652
Egyptian_Mau_3,11,"[62.25090909090909, 7.330909090909091, 97.74545454545455, 210.96727272727273]","[80, 51, 70, 75]",0.2545936950582598
Siamese_80,32,"[3.584, 47.263999999999996, 178.304, 133.504]","[66, 72, 103, 80]",0.3461559870988968
pomeranian_51,24,"[69.44, 55.328, 64.512, 86.912]","[73, 62, 62, 61]",0.6556526971467934
Egyptian_Mau_2,11,"[39.42560553633218, 22.47750865051903, 124.78892733564014, 188.34602076124568]","[63, 72, 87, 86]",0.3183355955031541
basset_hound_54,3,"[51.072, 36.512, 106.176, 127.68]","[58, 84, 96, 78]",0.5523528531999076
american_pit_bull_terrier_90,34,"[65.224, 62.272, 120.96000000000001, 160.38400000000001]","[89, 122, 36, 36]",0.06680395621935924
english_cocker_spaniel_93,12,"[38.344, 20.608, 147.392, 175.616]","[57, 39, 100, 80]",0.3090665426892797
beagle_83,3,"[38.528, 57.568, 185.472, 137.536]","[44, 106, 14, 41]",0.022501794172325965
pomeranian_29,24,"[37.448, 22.848, 145.15200000000002, 190.4]","[64, 38, 97, 84]",0.2948227902272019
yorkshire_terrier_90,36,"[37.448, 16.576, 147.84, 207.424]","[57, 53, 128, 101]",0.4215803737556283
scottish_terrier_95,30,"[7.6160000000000005, 44.272, 133.056, 124.544]","[69, 66, 86, 78]",0.3160407200532485
american_pit_bull_terrier_89,14,"[107.968, 72.29599999999999, 58.24, 84.224]","[44, 172, 7, 7]",0.0
american_bulldog_85,1,"[48.832, 28.448, 139.328, 140.672]","[56, 69, 114, 91]",0.5292979093095448
keeshond_49,18,"[70.56, 64.512, 89.152, 124.096]","[65, 73, 87, 89]",0.6270985778255318
miniature_pinscher_96,21,"[86.016, 45.512, 98.56, 140.224]","[73, 46, 105, 101]",0.6138306338728491
pug_52,25,"[6.72, 40.136, 191.744, 145.6]","[42, 44, 114, 88]",0.3593390087882745
wheaten_terrier_85,35,"[110.432, 30.016000000000002, 85.568, 190.4]","[125, 57, 72, 67]",0.2907853289565119
Persian_55,23,"[4.48, 11.064, 195.776, 206.08]","[89, 32, 99, 76]",0.18648911596774814
Birman_5,6,"[31.808, 40.136, 179.648, 135.296]","[41, 66, 106, 90]",0.39250123820399
leonberger_50,19,"[0.448, 30.240000000000002, 223.104, 165.76]","[35, 53, 115, 97]",0.3016355185634983
english_setter_39,14,"[77.056, 47.263999999999996, 89.60000000000001, 143.36]","[88, 117, 60, 74]",0.34329902291147024
Persian_53,23,"[75.488, 26.432000000000002, 120.06400000000001, 197.568]","[87, 38, 90, 78]",0.2959427469586677
basset_hound_61,3,"[111.552, 38.0, 95.872, 120.512]","[100, 72, 104, 85]",0.6268587760963835
basset_hound_74,3,"[50.624, 60.832, 120.96000000000001, 142.016]","[48, 70, 95, 89]",0.4721779528605608
newfoundland_22,22,"[81.536, 58.056, 78.848, 103.04]","[78, 64, 102, 80]",0.6322598259437966
Sphynx_42,33,"[77.952, 36.96, 64.06400000000001, 155.904]","[74, 45, 84, 103]",0.5479992910126631
german_shorthaired_35,14,"[47.04, 19.616, 142.464, 193.088]","[39, 30, 147, 146]",0.7073499177421013
basset_hound_6,3,"[55.104, 58.608000000000004, 83.328, 128.12800000000001]","[73, 95, 73, 65]",0.3808079285076717
pomeranian_73,24,"[0.0, 45.96, 151.424, 139.776]","[46, 67, 122, 89]",0.41441889685210537
saint_bernard_26,28,"[0.448, 37.0, 219.96800000000002, 133.504]","[50, 70, 132, 89]",0.4000462038791104
japanese_chin_37,17,"[40.32, 50.888, 130.368, 122.304]","[96, 56, 86, 64]",0.2867704462782135
japanese_chin_49,17,"[0.448, 36.96, 128.12800000000001, 112.896]","[36, 47, 101, 84]",0.5125228845985547
scottish_terrier_193,30,"[34.944, 62.984, 178.752, 109.312]","[44, 90, 75, 56]",0.21494658044408443
newfoundland_20,22,"[18.368000000000002, 69.664, 134.4, 73.92]","[48, 63, 121, 72]",0.5800102523851591
keeshond_84,18,"[54.656, 28.448, 168.89600000000002, 145.6]","[73, 63, 128, 84]",0.43722855393942933
chihuahua_58,21,"[58.688, 84.03999999999999, 65.408, 91.84]","[73, 101, 73, 69]",0.46892983767796126
basset_hound_7,4,"[24.192, 55.472, 181.44, 128.576]","[128, 42, 96, 86]",0.21693846267291317
german_shorthaired_34,14,"[73.016, 11.648, 96.32000000000001, 212.352]","[69, 57, 103, 111]",0.5044306055536102
saint_bernard_25,31,"[74.816, 92.512, 30.016000000000002, 68.096]","[45, 98, 85, 68]",0.31611905350334935
Ragdoll_41,26,"[36.736000000000004, 17.200000000000003, 131.264, 193.984]","[75, 32, 87, 70]",0.2391694737428821
newfoundland_54,22,"[35.392, 39.24, 140.224, 146.496]","[43, 66, 142, 129]",0.6909477610205162
leonberger_78,19,"[61.824, 28.0, 162.17600000000002, 167.104]","[63, 64, 135, 112]",0.5579282614353637
newfoundland_50,22,"[33.152, 71.864, 123.2, 92.736]","[86, 75, 88, 77]",0.4237418807701945
staffordshire_bull_terrier_77,1,"[60.928000000000004, 48.608000000000004, 94.08, 142.464]","[69, 63, 88, 79]",0.5010649730175136
Sphynx_87,33,"[26.88, 3.584, 141.12, 220.416]","[53, 41, 106, 183]",0.6236275179351647
basset_hound_77,3,"[69.888, 30.240000000000002, 87.808, 164.416]","[71, 74, 106, 81]",0.4388802829572152
Maine_Coon_269,20,"[28.0, 0.0, 141.62851782363978, 224.00000000000003]","[38, 37, 128, 117]",0.47205989220614053
pug_51,25,"[47.304, 11.648, 126.336, 197.12]","[64, 0, 103, 115]",0.40781583416384526
Persian_85,23,"[0.448, 28.0, 223.104, 168.0]","[73, 64, 104, 81]",0.22475104499631177
american_bulldog_76,1,"[75.264, 58.504000000000005, 90.048, 126.784]","[75, 68, 89, 85]",0.6593673867516338
great_pyrenees_80,15,"[54.216, 12.992, 133.952, 206.08]","[64, 0, 91, 100]",0.27504430651204564
american_pit_bull_terrier_20,2,"[192.5213849287169, 103.78615071283096, 31.478615071283098, 106.29735234215886]","[84, 37, 140, 105]",0.07141878511615332
miniature_pinscher_86,21,"[31.808, 45.96, 84.224, 93.184]","[102, 63, 88, 100]",0.06857901605275674
pug_202,25,"[58.906666666666666, 51.52, 124.69333333333334, 156.05333333333334]","[65, 58, 86, 71]",0.31379102331417624
great_pyrenees_3,15,"[67.2, 45.512, 140.224, 140.672]","[81, 42, 92, 91]",0.40146733687617
Birman_27,6,"[40.584, 13.44, 145.15200000000002, 189.504]","[59, 67, 108, 119]",0.4672284841832714
havanese_43,16,"[37.632, 44.128, 117.376, 137.088]","[75, 71, 82, 70]",0.3450685770402845
miniature_pinscher_199,21,"[45.18666666666667, 22.400000000000002, 139.62666666666667, 201.60000000000002]","[71, 80, 95, 97]",0.3273681631743606
saint_bernard_47,28,"[42.136, 32.256, 138.43200000000002, 177.856]","[94, 43, 96, 74]",0.2530135378006423
newfoundland_66,22,"[54.656, 67.816, 97.664, 95.424]","[66, 77, 100, 61]",0.5185676381371408
Birman_9,6,"[76.16, 42.336, 70.784, 110.208]","[73, 46, 76, 60]",0.5234262097771095
yorkshire_terrier_57,36,"[49.728, 39.344, 125.888, 143.808]","[58, 66, 97, 76]",0.4072095421133165
Ragdoll_56,26,"[90.048, 43.72, 133.952, 137.536]","[82, 59, 106, 79]",0.4060130230013188
english_cocker_spaniel_40,12,"[18.816, 33.376, 200.256, 161.728]","[134, 45, 69, 84]",0.17896068102081414
pug_73,25,"[96.768, 54.472, 126.784, 131.264]","[124, 83, 100, 64]",0.3821838212043103
Egyptian_Mau_50,11,"[0.0, 69.20754716981132, 186.66666666666666, 126.44025157232704]","[33, 110, 99, 75]",0.31458958060940256
Sphynx_21,33,"[0.448, 52.68, 161.28, 133.504]","[61, 63, 127, 132]",0.4793086730984382
Russian_Blue_64,27,"[13.888, 40.096000000000004, 162.624, 155.904]","[52, 54, 116, 115]",0.5261552796049549
keeshond_48,18,"[0.448, 37.896, 223.552, 148.288]","[63, 63, 126, 106]",0.4028949677516448
miniature_pinscher_66,21,"[69.072, 38.528, 101.248, 176.96]","[73, 54, 88, 94]",0.4616884000155455
boxer_42,8,"[83.592, 23.296, 73.024, 182.784]","[112, 138, 41, 42]",0.12901177533896993
japanese_chin_9,17,"[21.056, 24.0, 190.848, 176.064]","[43, 45, 140, 101]",0.4208150194636862
chihuahua_72,10,"[51.52, 29.792, 169.344, 165.76]","[61, 68, 89, 78]",0.24730623024628126
basset_hound_34,3,"[28.448, 33.152, 135.296, 190.848]","[69, 61, 99, 115]",0.41411591771360284
havanese_36,15,"[27.776, 21.056, 191.744, 189.056]","[0, 31, 189, 133]",0.5368138015975599
beagle_61,4,"[51.072, 48.2, 126.784, 137.984]","[59, 54, 105, 70]",0.4201401237896379
British_Shorthair_50,9,"[0.896, 51.336, 162.624, 134.4]","[71, 61, 89, 100]",0.407198433781226
german_shorthaired_56,14,"[59.328, 17.472, 119.616, 146.496]","[55, 36, 95, 105]",0.529575922852628
Ragdoll_259,26,"[43.008, 35.088, 154.56, 150.528]","[54, 61, 129, 103]",0.5711004923126083
Ragdoll_7,26,"[37.896, 24.64, 147.84, 199.36]","[63, 35, 122, 104]",0.4304901225045687
Bombay_36,25,"[75.712, 78.176, 63.616, 52.416000000000004]","[52, 48, 104, 102]",0.31433788235294124
wheaten_terrier_91,35,"[51.879999999999995, 5.376, 129.92000000000002, 182.336]","[77, 0, 107, 122]",0.49843995272421077
Birman_64,6,"[0.0, 28.448, 200.256, 167.552]","[47, 106, 126, 83]",0.311683264672556
english_cocker_spaniel_34,12,"[68.80799999999999, 49.28, 70.336, 89.152]","[100, 62, 62, 58]",0.2988782715983105
english_cocker_spaniel_90,12,"[83.104, 44.800000000000004, 68.992, 133.056]","[71, 41, 97, 90]",0.4971382541529737
Egyptian_Mau_87,11,"[3.3600000000000003, 41.24, 206.45333333333335, 126.18666666666667]","[64, 78, 105, 73]",0.2942231167427648
pomeranian_93,24,"[7.168, 34.96, 206.976, 155.45600000000002]","[50, 77, 122, 77]",0.29195981346429056
beagle_196,4,"[38.304, 59.584, 138.43200000000002, 153.216]","[52, 87, 115, 93]",0.5042433453751113
basset_hound_35,4,"[82.24799999999999, 95.872, 52.864000000000004, 61.824]","[79, 93, 76, 51]",0.5530922987888652
german_shorthaired_47,14,"[66.176, 20.16, 130.816, 190.848]","[61, 53, 102, 137]",0.5166443863059073
japanese_chin_95,17,"[0.0, 26.032, 217.28, 174.72]","[31, 57, 148, 93]",0.36256200537312466
scottish_terrier_55,30,"[34.944, 38.512, 104.83200000000001, 140.224]","[60, 65, 96, 64]",0.3244101668818991
basset_hound_88,3,"[3.584, 38.792, 159.936, 132.16]","[84, 57, 92, 90]",0.32150449787164465
Bombay_42,7,"[1.792, 104.16, 155.008, 90.496]","[78, 113, 89, 80]",0.4246947044390454
leonberger_41,19,"[0.0, 46.816, 196.22400000000002, 149.184]","[173, 107, 4, 7]",0.0009564971037573776
keeshond_96,18,"[28.0, 4.48, 105.28, 219.52]","[39, 29, 99, 130]",0.5166100212598992
Ragdoll_254,26,"[0.0, 40.986666666666665, 224.0, 144.85333333333335]","[55, 74, 119, 83]",0.304402729197349
Russian_Blue_201,27,"[65.72800000000001, 38.976, 104.384, 168.448]","[64, 42, 98, 141]",0.7614522828298098
Ragdoll_67,6,"[3.584, 54.616, 209.66400000000002, 121.85600000000001]","[88, 72, 136, 100]",0.47043240281082904
pug_82,25,"[57.792, 48.647999999999996, 164.416, 136.192]","[66, 73, 103, 84]",0.38638551312716396
staffordshire_bull_terrier_90,34,"[15.68, 43.272, 163.072, 127.68]","[33, 62, 123, 80]",0.47259903093683975
german_shorthaired_53,14,"[34.688, 33.6, 154.56, 190.4]","[59, 60, 113, 131]",0.5030205016789324
yorkshire_terrier_78,36,"[17.92, 26.928, 151.424, 173.824]","[41, 38, 80, 91]",0.2765839186586609
pug_199,25,"[44.800000000000004, 33.6, 133.28, 160.16000000000003]","[80, 56, 102, 79]",0.35779413748686906
great_pyrenees_70,15,"[51.968, 38.304, 137.984, 153.216]","[39, 44, 103, 82]",0.3324797533755874
german_shorthaired_200,14,"[0.0, 73.28800000000001, 154.112, 112.44800000000001]","[20, 89, 157, 91]",0.6286804136240097
keeshond_89,18,"[6.72, 37.448, 217.28, 146.94400000000002]","[45, 74, 125, 84]",0.3288650252343834
great_pyrenees_196,15,"[19.712, 58.704, 175.616, 115.584]","[25, 65, 140, 68]",0.46900248886930185
havanese_85,16,"[76.608, 51.888, 113.34400000000001, 133.504]","[89, 69, 101, 84]",0.560254940046491
japanese_chin_61,17,"[43.904, 78.176, 120.512, 75.712]","[85, 98, 79, 61]",0.4633845142657517
american_bulldog_57,1,"[34.944, 73.736, 142.016, 112.896]","[48, 68, 134, 117]",0.826416754261764
boxer_196,8,"[0.0, 58.775999999999996, 163.52, 133.056]","[54, 76, 108, 80]",0.3971077845833227
havanese_199,12,"[86.016, 81.312, 113.792, 110.208]","[99, 90, 83, 70]",0.46328824464777263
english_setter_45,13,"[44.800000000000004, 62.536, 179.20000000000002, 123.648]","[121, 97, 75, 89]",0.30124938477429014
Maine_Coon_99,20,"[45.472, 35.392, 150.528, 188.608]","[60, 63, 102, 98]",0.35208607270105197
British_Shorthair_278,9,"[73.47200000000001, 49.992000000000004, 122.304, 135.744]","[68, 62, 96, 88]",0.4663231349142554
staffordshire_bull_terrier_49,34,"[39.24, 35.392, 142.464, 127.232]","[69, 45, 86, 85]",0.4032885472651723
havanese_32,16,"[28.672, 44.616, 166.208, 125.888]","[39, 56, 88, 64]",0.26916983520346005
havanese_35,16,"[32.256, 5.824, 167.104, 191.296]","[36, 54, 105, 78]",0.2562071036606969
Sphynx_44,33,"[82.88, 25.136, 140.224, 176.064]","[102, 58, 122, 104]",0.5082329219027961
newfoundland_52,22,"[33.376, 21.056, 126.784, 171.136]","[76, 43, 116, 102]",0.3441300702779643
scottish_terrier_71,30,"[1.344, 47.888, 159.04, 142.912]","[44, 78, 115, 89]",0.4503112354151779
Bengal_32,5,"[33.152, 40.136, 142.912, 143.36]","[62, 70, 120, 107]",0.5777985404690535
wheaten_terrier_47,35,"[62.72, 28.448, 99.008, 167.104]","[75, 38, 80, 92]",0.4448572582260374
boxer_2,1,"[0.0, 67.464, 134.4, 119.168]","[47, 78, 108, 84]",0.4136909946002439
wheaten_terrier_41,35,"[72.80000000000001, 60.032000000000004, 76.608, 107.968]","[66, 64, 89, 73]",0.6094691038725669
Bengal_64,5,"[45.248, 41.888, 173.824, 141.12]","[64, 64, 127, 92]",0.47631388404650027
pomeranian_63,24,"[0.896, 40.992000000000004, 178.752, 155.008]","[67, 65, 112, 65]",0.2627400975601679
beagle_91,4,"[22.400000000000002, 58.464, 140.224, 86.464]","[105, 64, 64, 67]",0.30759685039630236
great_pyrenees_34,15,"[75.712, 62.944, 70.784, 128.576]","[69, 65, 96, 83]",0.5248387463568079
great_pyrenees_91,15,"[0.0, 30.64, 175.616, 185.92000000000002]","[60, 42, 86, 95]",0.2502256723165046
miniature_pinscher_30,21,"[57.792, 42.928, 111.552, 142.912]","[67, 69, 92, 91]",0.525149748119212
Sphynx_250,33,"[13.542268041237113, 2.7711340206185566, 185.2041237113402, 219.3814432989691]","[151, 36, 40, 57]",0.05611568972975724
english_setter_22,13,"[28.0, 70.784, 109.76, 152.768]","[69, 99, 79, 78]",0.3053123335016047
Ragdoll_255,26,"[0.0, 28.746666666666666, 223.25333333333333, 165.76000000000002]","[25, 78, 159, 94]",0.4038752946943941
japanese_chin_36,17,"[72.57600000000001, 37.0, 72.128, 23.744]","[66, 59, 90, 59]",0.01823902972038111
miniature_pinscher_84,21,"[44.647999999999996, 14.784, 109.76, 177.856]","[78, 47, 91, 85]",0.31281881637114134
chihuahua_52,10,"[47.04, 42.376, 119.616, 143.808]","[71, 62, 106, 72]",0.38376451128614936
english_cocker_spaniel_3,12,"[56.0, 45.472, 107.52, 150.08]","[58, 64, 97, 83]",0.4989278535574677
shiba_inu_72,31,"[36.288000000000004, 35.24, 138.43200000000002, 155.45600000000002]","[42, 68, 122, 80]",0.45352980732316983
beagle_47,4,"[0.0, 26.240000000000002, 224.0, 170.68800000000002]","[57, 63, 167, 102]",0.44551838944239114
keeshond_91,18,"[77.056, 59.848, 92.736, 113.792]","[75, 91, 92, 71]",0.5969032793689831
Sphynx_57,4,"[103.04, 73.28800000000001, 45.696, 91.392]","[104, 90, 85, 100]",0.35787403191009376
leonberger_39,19,"[31.136, 30.016000000000002, 159.04, 172.928]","[22, 50, 101, 75]",0.2444260279439523
staffordshire_bull_terrier_40,1,"[61.775999999999996, 16.576, 108.864, 198.464]","[72, 0, 69, 94]",0.2348313668689948
British_Shorthair_60,9,"[0.0, 49.056, 162.17600000000002, 129.472]","[69, 56, 103, 99]",0.4198678473785668
german_shorthaired_2,14,"[1.344, 56.224000000000004, 222.656, 137.984]","[18, 100, 85, 68]",0.18813288057259536
shiba_inu_29,31,"[37.632, 38.0, 132.16, 148.736]","[59, 55, 99, 70]",0.3525470678111964
beagle_98,4,"[50.176, 62.728, 77.952, 127.68]","[50, 74, 92, 58]",0.41988706485841726
Russian_Blue_88,27,"[31.36, 46.584, 160.38400000000001, 129.92000000000002]","[32, 57, 105, 87]",0.43840096268954504
english_cocker_spaniel_9,12,"[38.344, 3.136, 146.496, 220.864]","[48, 26, 100, 83]",0.25652363919310206
yorkshire_terrier_23,36,"[50.848, 39.872, 104.83200000000001, 167.552]","[54, 51, 92, 101]",0.5290122313494162
Bombay_221,7,"[10.32258064516129, 76.96774193548387, 191.48387096774192, 108.38709677419355]","[48, 86, 73, 64]",0.22510910024387115
saint_bernard_195,28,"[0.448, 40.992000000000004, 200.256, 154.56]","[31, 74, 155, 89]",0.4456963306429468
chihuahua_51,10,"[38.0, 96.768, 107.52, 89.152]","[71, 107, 91, 80]",0.5354013305783446
yorkshire_terrier_93,16,"[74.088, 50.176, 101.248, 114.688]","[85, 64, 86, 72]",0.533244660211983
Egyptian_Mau_58,11,"[0.0, 27.272, 189.952, 137.984]","[0, 49, 207, 135]",0.6885404386299648
havanese_30,16,"[51.968, 37.448, 129.92000000000002, 147.84]","[71, 47, 98, 79]",0.4030743861024033
american_bulldog_99,1,"[38.344, 3.584, 146.94400000000002, 220.416]","[70, 28, 83, 100]",0.2562613548356582
keeshond_197,18,"[1.792, 40.544, 217.28, 153.66400000000002]","[159, 109, 19, 13]",0.007397842255834737
yorkshire_terrier_96,16,"[0.0, 37.896, 174.272, 144.704]","[76, 53, 101, 73]",0.2822463762249732
Egyptian_Mau_4,5,"[21.28, 64.60000000000001, 194.88000000000002, 153.44000000000003]","[48, 94, 115, 93]",0.35766375200973904
beagle_33,1,"[127.232, 58.232, 46.592, 92.288]","[112, 51, 80, 73]",0.4330733879563548
basset_hound_71,3,"[0.0, 65.672, 146.496, 120.06400000000001]","[37, 69, 105, 100]",0.596967550028364
basset_hound_195,3,"[37.448, 1.792, 116.48, 155.45600000000002]","[43, 36, 119, 112]",0.6534931200832489
Siamese_97,32,"[51.52, 30.240000000000002, 136.192, 165.312]","[52, 43, 67, 76]",0.2261686559786516
beagle_23,4,"[46.144, 37.0, 176.96, 142.016]","[57, 66, 118, 98]",0.4601460487960707
Abyssinian_8,0,"[67.648, 50.888, 156.352, 134.848]","[91, 72, 93, 77]",0.33964538912453096
english_setter_33,13,"[61.6, 90.944, 66.752, 96.768]","[63, 109, 105, 87]",0.49222534250521616
german_shorthaired_26,14,"[47.712, 3.136, 148.288, 220.864]","[34, 0, 159, 207]",0.8217115227292805
leonberger_63,19,"[0.0, 28.896, 223.552, 166.656]","[0, 46, 153, 111]",0.45584258646489817
staffordshire_bull_terrier_20,34,"[47.04, 33.2, 143.36, 160.832]","[43, 35, 87, 92]",0.3257699773033212
Bombay_67,22,"[28.0, 0.0, 167.552, 224.0]","[0, 100, 224, 124]",0.466559356136821
chihuahua_43,10,"[39.24, 2.688, 140.672, 220.416]","[74, 48, 114, 100]",0.33289790619120774
boxer_49,8,"[48.832, 34.512, 173.824, 162.624]","[67, 70, 97, 73]",0.2504956657249677
boxer_45,8,"[80.64, 44.272, 75.712, 139.328]","[70, 75, 92, 91]",0.5726694820899194
keeshond_36,18,"[41.2, 54.13333333333333, 126.93333333333334, 145.13333333333333]","[74, 61, 109, 105]",0.4946140469143837
keeshond_97,18,"[22.848, 28.0, 167.552, 168.0]","[19, 32, 162, 123]",0.679640444915876
newfoundland_76,22,"[75.632, 63.168, 102.144, 136.192]","[66, 73, 117, 96]",0.6393418784553404
yorkshire_terrier_196,36,"[58.24, 50.44, 88.256, 116.928]","[67, 70, 105, 84]",0.5358449363866808
pomeranian_9,36,"[24.192, 83.24799999999999, 103.04, 88.256]","[48, 90, 63, 76]",0.526506881167828
beagle_71,4,"[45.696, 67.016, 128.12800000000001, 98.11200000000001]","[121, 60, 66, 58]",0.1965004170756347
Ragdoll_264,26,"[0.0, 53.08108108108108, 198.05405405405406, 112.43243243243244]","[103, 66, 94, 80]",0.33770889318105474
saint_bernard_91,28,"[22.848, 49.992000000000004, 201.15200000000002, 120.96000000000001]","[40, 61, 96, 81]",0.3195877460115449
Birman_81,6,"[10.0, 46.0, 214.0, 113.0]","[0, 59, 118, 80]",0.34584901128812745
german_shorthaired_86,14,"[21.952, 49.992000000000004, 155.008, 131.264]","[61, 54, 119, 97]",0.5449182093159848
pug_196,25,"[45.17333333333333, 35.093333333333334, 150.82666666666668, 167.25333333333333]","[40, 41, 94, 83]",0.287368026121661
pomeranian_25,24,"[38.528, 28.448, 175.168, 166.656]","[70, 64, 111, 75]",0.28517307387541263
Birman_65,6,"[0.0, 65.224, 166.208, 120.512]","[30, 114, 137, 77]",0.46957889483261817
samoyed_66,29,"[66.304, 24.240000000000002, 99.008, 178.752]","[71, 66, 95, 93]",0.4938117406890682
Birman_78,6,"[38.344, 10.304, 146.94400000000002, 213.696]","[52, 44, 129, 111]",0.45599957546582826
keeshond_57,18,"[35.392, 42.784, 105.28, 100.8]","[51, 53, 108, 72]",0.5411054791214095
german_shorthaired_199,14,"[51.968, 42.824, 172.032, 142.912]","[77, 75, 147, 112]",0.65714064347941
havanese_37,16,"[42.376, 11.648, 144.256, 212.352]","[51, 41, 107, 71]",0.2480001166133959
basset_hound_93,3,"[50.176, 50.44, 173.824, 94.08]","[56, 56, 107, 81]",0.5299827669930268
basset_hound_47,3,"[48.304, 15.68, 136.192, 191.296]","[160, 79, 20, 40]",0.03070665434915492
