,index,pred_class,true_bbox,cam_bboxes,resnet_adv_iou
803,boxer_2,1,"[0.0, 67.464, 134.4, 119.168]","[0, 51, 178, 152]",0.5919640449438204
804,wheaten_terrier_41,35,"[72.80000000000001, 60.032000000000004, 76.608, 107.968]","[39, 34, 137, 144]",0.41926259854014597
805,Bengal_64,5,"[45.248, 41.888, 173.824, 141.12]","[39, 29, 152, 158]",0.7351803079574103
806,pomeranian_63,24,"[0.896, 40.992000000000004, 178.752, 155.008]","[38, 31, 186, 159]",0.5834556275896094
807,beagle_91,4,"[22.400000000000002, 58.464, 140.224, 86.464]","[55, 30, 143, 144]",0.39749307121029787
808,great_pyrenees_34,15,"[75.712, 62.944, 70.784, 128.576]","[45, 37, 137, 144]",0.40817758575328544
809,great_pyrenees_91,15,"[0.0, 30.64, 175.616, 185.92000000000002]","[36, 37, 129, 152]",0.600541613559611
810,miniature_pinscher_30,21,"[57.792, 42.928, 111.552, 142.912]","[50, 47, 137, 145]",0.7622273212546429
811,Sphynx_250,33,"[13.542268041237113, 2.7711340206185566, 185.2041237113402, 219.3814432989691]","[30, 0, 194, 163]",0.5979975364639133
812,english_setter_22,12,"[28.0, 70.784, 109.76, 152.768]","[36, 42, 133, 138]",0.4629216192056335
813,Ragdoll_255,26,"[0.0, 28.746666666666666, 223.25333333333333, 165.76000000000002]","[22, 66, 174, 158]",0.5306372907627019
814,japanese_chin_36,17,"[72.57600000000001, 37.0, 72.128, 23.744]","[38, 25, 135, 132]",0.09610590527497194
815,miniature_pinscher_84,21,"[44.647999999999996, 14.784, 109.76, 177.856]","[50, 18, 157, 167]",0.6160234397648472
816,chihuahua_52,10,"[47.04, 42.376, 119.616, 143.808]","[43, 41, 181, 137]",0.6293777086549394
817,english_cocker_spaniel_3,12,"[56.0, 45.472, 107.52, 150.08]","[30, 35, 153, 141]",0.5927870581828119
818,shiba_inu_72,31,"[36.288000000000004, 35.24, 138.43200000000002, 155.45600000000002]","[0, 43, 201, 154]",0.6383696879591013
819,beagle_47,4,"[0.0, 26.240000000000002, 224.0, 170.68800000000002]","[55, 47, 169, 177]",0.5918770883322498
820,keeshond_91,18,"[77.056, 59.848, 92.736, 113.792]","[61, 68, 133, 123]",0.5724008338697426
821,Sphynx_57,4,"[103.04, 73.28800000000001, 45.696, 91.392]","[54, 59, 144, 138]",0.21015744927536223
822,leonberger_39,19,"[31.136, 30.016000000000002, 159.04, 172.928]","[0, 29, 152, 115]",0.44147289808697066
823,staffordshire_bull_terrier_40,2,"[61.775999999999996, 16.576, 108.864, 198.464]","[30, 0, 153, 175]",0.5539512322731831
824,British_Shorthair_60,9,"[0.0, 49.056, 162.17600000000002, 129.472]","[47, 30, 148, 151]",0.5244599785940263
825,german_shorthaired_2,14,"[1.344, 56.224000000000004, 222.656, 137.984]","[70, 60, 154, 138]",0.6601742708962315
826,shiba_inu_29,31,"[37.632, 38.0, 132.16, 148.736]","[27, 25, 180, 166]",0.6578631111111111
827,beagle_98,4,"[50.176, 62.728, 77.952, 127.68]","[17, 44, 154, 148]",0.43668442260442253
828,Russian_Blue_88,27,"[31.36, 46.584, 160.38400000000001, 129.92000000000002]","[0, 29, 156, 143]",0.5681573956913507
829,english_cocker_spaniel_9,12,"[38.344, 3.136, 146.496, 220.864]","[27, 0, 136, 130]",0.4621198838978274
830,yorkshire_terrier_23,36,"[50.848, 39.872, 104.83200000000001, 167.552]","[24, 33, 152, 139]",0.5575832438506323
831,Bombay_221,7,"[10.32258064516129, 76.96774193548387, 191.48387096774192, 108.38709677419355]","[33, 56, 129, 131]",0.59066674069431
832,saint_bernard_195,28,"[0.448, 40.992000000000004, 200.256, 154.56]","[53, 44, 154, 141]",0.6541055174644376
833,chihuahua_51,10,"[38.0, 96.768, 107.52, 89.152]","[38, 87, 139, 137]",0.5033672761644699
834,yorkshire_terrier_93,16,"[74.088, 50.176, 101.248, 114.688]","[47, 39, 147, 143]",0.5523966806526808
835,Egyptian_Mau_58,11,"[0.0, 27.272, 189.952, 137.984]","[0, 48, 168, 148]",0.6278502496551115
836,havanese_30,16,"[51.968, 37.448, 129.92000000000002, 147.84]","[39, 26, 154, 141]",0.6986887479364365
837,american_bulldog_99,1,"[38.344, 3.584, 146.94400000000002, 220.416]","[33, 0, 172, 162]",0.6295761423648193
838,keeshond_197,18,"[1.792, 40.544, 217.28, 153.66400000000002]","[0, 45, 171, 135]",0.679246415699125
839,yorkshire_terrier_96,16,"[0.0, 37.896, 174.272, 144.704]","[38, 26, 186, 147]",0.5391347368344112
840,Egyptian_Mau_4,11,"[21.28, 64.60000000000001, 194.88000000000002, 153.44000000000003]","[0, 61, 224, 163]",0.8189742331288343
841,beagle_33,4,"[127.232, 58.232, 46.592, 92.288]","[69, 38, 134, 138]",0.2325266329223448
842,basset_hound_71,3,"[0.0, 65.672, 146.496, 120.06400000000001]","[0, 44, 164, 142]",0.7552772133287531
843,basset_hound_195,12,"[37.448, 1.792, 116.48, 155.45600000000002]","[0, 0, 171, 148]",0.6454490887330173
844,Siamese_97,32,"[51.52, 30.240000000000002, 136.192, 165.312]","[26, 0, 134, 149]",0.4352821868831432
845,beagle_23,4,"[46.144, 37.0, 176.96, 142.016]","[31, 39, 173, 155]",0.740601944567028
846,Abyssinian_8,9,"[67.648, 50.888, 156.352, 134.848]","[39, 29, 161, 156]",0.6239064760953802
847,english_setter_33,1,"[61.6, 90.944, 66.752, 96.768]","[52, 49, 116, 141]",0.39492892736610413
848,german_shorthaired_26,14,"[47.712, 3.136, 148.288, 220.864]","[60, 22, 164, 202]",0.715277321107484
849,leonberger_63,19,"[0.0, 28.896, 223.552, 166.656]","[0, 0, 164, 160]",0.5119880993772322
850,staffordshire_bull_terrier_20,34,"[47.04, 33.2, 143.36, 160.832]","[39, 0, 145, 156]",0.5828047235587442
851,Bombay_67,7,"[28.0, 0.0, 167.552, 224.0]","[0, 61, 202, 163]",0.6329798970358593
852,chihuahua_43,10,"[39.24, 2.688, 140.672, 220.416]","[53, 25, 171, 157]",0.5253399012742475
853,boxer_49,8,"[48.832, 34.512, 173.824, 162.624]","[39, 20, 159, 162]",0.6869686525729032
854,boxer_45,8,"[80.64, 44.272, 75.712, 139.328]","[44, 32, 139, 153]",0.4960173760285889
855,keeshond_36,18,"[41.2, 54.13333333333333, 126.93333333333334, 145.13333333333333]","[60, 43, 164, 144]",0.5192203228994973
856,keeshond_97,18,"[22.848, 28.0, 167.552, 168.0]","[0, 26, 188, 150]",0.7660725926966011
857,newfoundland_76,22,"[75.632, 63.168, 102.144, 136.192]","[47, 56, 150, 137]",0.6255560193622646
858,yorkshire_terrier_196,36,"[58.24, 50.44, 88.256, 116.928]","[41, 42, 151, 140]",0.4881550410596026
859,pomeranian_9,36,"[24.192, 83.24799999999999, 103.04, 88.256]","[19, 61, 127, 125]",0.572843983622047
860,beagle_71,4,"[45.696, 67.016, 128.12800000000001, 98.11200000000001]","[79, 27, 145, 144]",0.3852723384828857
861,Ragdoll_264,26,"[0.0, 53.08108108108108, 198.05405405405406, 112.43243243243244]","[70, 33, 154, 140]",0.4892047761680058
862,saint_bernard_91,28,"[22.848, 49.992000000000004, 201.15200000000002, 120.96000000000001]","[26, 36, 154, 142]",0.6756192445218456
863,Birman_81,6,"[10.0, 46.0, 214.0, 113.0]","[0, 23, 144, 139]",0.5211316079295154
864,german_shorthaired_86,14,"[21.952, 49.992000000000004, 155.008, 131.264]","[45, 34, 155, 136]",0.6188281973166602
865,pug_196,25,"[45.17333333333333, 35.093333333333334, 150.82666666666668, 167.25333333333333]","[24, 19, 140, 141]",0.49270458883775825
866,pomeranian_25,24,"[38.528, 28.448, 175.168, 166.656]","[44, 33, 153, 150]",0.7861527982511376
867,Birman_65,32,"[0.0, 65.224, 166.208, 120.512]","[23, 53, 156, 143]",0.68813543215059
868,samoyed_66,29,"[66.304, 24.240000000000002, 99.008, 178.752]","[57, 36, 137, 158]",0.6600362332148619
869,Birman_78,6,"[38.344, 10.304, 146.94400000000002, 213.696]","[33, 0, 191, 166]",0.5687124727110601
870,keeshond_57,18,"[35.392, 42.784, 105.28, 100.8]","[41, 0, 128, 150]",0.5083122701424656
871,german_shorthaired_199,8,"[51.968, 42.824, 172.032, 142.912]","[44, 19, 180, 156]",0.7598005346217411
872,havanese_37,16,"[42.376, 11.648, 144.256, 212.352]","[28, 0, 143, 144]",0.4977468884479616
873,basset_hound_93,3,"[50.176, 50.44, 173.824, 94.08]","[35, 34, 157, 137]",0.5441697126702109
874,basset_hound_47,3,"[48.304, 15.68, 136.192, 191.296]","[38, 21, 158, 158]",0.729468529984228
875,basset_hound_90,3,"[13.888, 59.848, 107.072, 120.512]","[0, 48, 141, 138]",0.6631442524411554
876,pomeranian_50,24,"[37.896, 45.696, 138.88, 157.696]","[45, 31, 140, 148]",0.7011207983345471
877,boxer_64,8,"[0.448, 1.344, 215.936, 222.656]","[22, 19, 176, 173]",0.6332851670101906
878,British_Shorthair_2,9,"[18.330909090909092, 21.17818181818182, 170.24, 197.93454545454546]","[69, 0, 155, 154]",0.3809936484358775
879,wheaten_terrier_29,35,"[42.824, 124.544, 58.24, 91.84]","[31, 94, 124, 130]",0.3318090322580646
880,Ragdoll_8,6,"[0.0, 39.688, 179.20000000000002, 141.568]","[31, 19, 138, 150]",0.6322668832053776
881,Maine_Coon_85,0,"[75.488, 8.96, 112.0, 215.04]","[59, 0, 124, 164]",0.600633067247621
882,scottish_terrier_49,30,"[50.624, 53.800000000000004, 116.928, 111.552]","[27, 37, 145, 138]",0.6518516869565216
883,great_pyrenees_47,15,"[12.992, 25.136, 146.496, 176.064]","[0, 20, 153, 145]",0.6896168369456356
884,basset_hound_95,3,"[36.288000000000004, 37.448, 187.71200000000002, 148.736]","[43, 28, 157, 158]",0.7932105117982795
885,staffordshire_bull_terrier_51,8,"[86.464, 49.784, 59.584, 107.072]","[32, 53, 157, 146]",0.26772765711264196
886,Birman_6,6,"[44.352000000000004, 44.168, 168.0, 133.504]","[23, 0, 135, 158]",0.4197269516535816
887,Persian_91,23,"[19.264, 3.584, 189.056, 219.52]","[31, 0, 140, 163]",0.5313444991672127
888,english_setter_38,13,"[99.904, 78.768, 72.57600000000001, 71.68]","[72, 45, 124, 126]",0.3329651612903228
889,Bengal_44,5,"[157.696, 157.92000000000002, 59.584, 37.632]","[34, 52, 130, 118]",0.004350041668827888
890,american_pit_bull_terrier_42,34,"[2.24, 36.376, 202.94400000000002, 157.248]","[26, 0, 149, 164]",0.5093670223584145
891,pomeranian_83,24,"[79.072, 84.224, 59.136, 90.496]","[47, 63, 130, 137]",0.300481272094329
892,beagle_28,4,"[47.304, 8.064, 137.536, 215.936]","[38, 0, 159, 166]",0.6319813238382213
893,chihuahua_1,25,"[61.192, 58.688, 84.672, 133.504]","[63, 61, 121, 130]",0.6624337966652717
894,British_Shorthair_93,9,"[45.696, 39.168, 178.304, 153.216]","[40, 54, 152, 146]",0.6918232294856256
895,Ragdoll_33,26,"[0.0, 38.792, 224.0, 146.048]","[72, 25, 152, 144]",0.5685426640486538
896,Bengal_49,5,"[89.60000000000001, 68.36, 70.336, 100.352]","[63, 55, 128, 128]",0.43080799999999997
897,Persian_44,23,"[26.472, 12.544, 184.576, 171.136]","[26, 16, 162, 155]",0.7907845963225637
898,german_shorthaired_30,14,"[0.0, 75.08, 153.216, 111.552]","[30, 61, 154, 135]",0.5694676968051787
899,american_bulldog_66,1,"[7.6160000000000005, 49.096000000000004, 158.144, 131.264]","[22, 27, 202, 153]",0.5729416711408669
900,newfoundland_67,22,"[11.648, 71.00800000000001, 211.904, 124.992]","[35, 52, 136, 131]",0.523914080125024
901,Persian_37,23,"[20.16, 94.344, 145.15200000000002, 88.70400000000001]","[64, 66, 133, 131]",0.4216812594326222
902,pug_21,25,"[27.648, 18.368000000000002, 178.752, 201.15200000000002]","[17, 0, 207, 193]",0.6984732474998899
903,chihuahua_76,10,"[42.544, 18.368000000000002, 129.024, 177.40800000000002]","[49, 0, 175, 160]",0.5177266794487734
904,Bengal_40,5,"[65.856, 12.096, 120.512, 185.92000000000002]","[51, 0, 135, 176]",0.7438410328287943
905,american_bulldog_9,1,"[0.0, 37.0, 224.0, 149.632]","[25, 38, 165, 143]",0.7039591894018087
906,boxer_5,8,"[28.672, 45.512, 142.912, 133.056]","[0, 18, 177, 149]",0.6194949486237303
907,american_pit_bull_terrier_44,1,"[79.296, 37.0, 70.336, 124.544]","[43, 0, 148, 153]",0.35099992578241973
908,american_bulldog_216,1,"[0.0, 42.376, 221.76, 125.888]","[38, 43, 186, 143]",0.7308297188346504
909,german_shorthaired_58,14,"[94.976, 62.768, 112.44800000000001, 113.792]","[97, 53, 127, 127]",0.7680864267150128
910,Abyssinian_30,0,"[44.616, 59.136, 138.88, 96.32000000000001]","[59, 44, 165, 140]",0.4897376381985493
911,samoyed_5,29,"[86.24000000000001, 80.64, 47.04, 72.57600000000001]","[52, 36, 134, 159]",0.16023538158265277
912,scottish_terrier_63,30,"[78.21600000000001, 64.96000000000001, 77.504, 139.776]","[54, 50, 137, 143]",0.4840647824917224
913,pug_67,25,"[64.06400000000001, 38.0, 103.488, 141.568]","[46, 39, 157, 151]",0.6109535085547179
914,chihuahua_20,10,"[32.704, 39.647999999999996, 162.17600000000002, 133.504]","[34, 32, 190, 145]",0.7747396424598857
915,scottish_terrier_198,30,"[73.47200000000001, 47.752, 132.16, 137.088]","[75, 47, 149, 138]",0.8621478988229226
916,Abyssinian_77,0,"[48.384, 49.056, 137.088, 146.496]","[30, 55, 137, 142]",0.7291328660826664
917,Abyssinian_40,0,"[24.904009720534628, 28.26609963547995, 199.09599027946535, 170.65370595382745]","[0, 29, 154, 151]",0.5165622051892518
918,staffordshire_bull_terrier_36,34,"[11.648, 44.576, 171.584, 148.736]","[34, 0, 173, 152]",0.4479759918005875
919,havanese_193,16,"[87.36, 31.584, 136.64000000000001, 163.968]","[74, 32, 150, 137]",0.7724263022069082
920,leonberger_54,19,"[33.6, 35.616, 190.4, 159.936]","[25, 39, 170, 143]",0.7285045423695328
921,leonberger_52,19,"[77.056, 83.55199999999999, 55.552, 91.392]","[46, 61, 136, 130]",0.28716110769230774
922,Maine_Coon_63,20,"[37.24, 8.064, 150.976, 214.592]","[32, 27, 192, 148]",0.5808309792564225
923,staffordshire_bull_terrier_96,2,"[33.792, 58.24, 157.248, 160.38400000000001]","[31, 45, 153, 141]",0.6952479529770779
924,British_Shorthair_78,23,"[36.0, 32.256, 116.928, 191.744]","[36, 26, 145, 146]",0.599626896422551
925,Sphynx_27,33,"[0.448, 27.856, 223.552, 178.304]","[0, 42, 184, 156]",0.7171058742467666
926,english_setter_29,13,"[38.976, 10.752, 182.336, 213.248]","[37, 31, 157, 153]",0.6052980015871398
927,american_pit_bull_terrier_28,1,"[107.968, 68.80799999999999, 116.032, 116.928]","[72, 34, 152, 155]",0.5758654370118845
928,Birman_70,6,"[2.688, 49.544, 220.864, 135.296]","[0, 32, 167, 145]",0.6316660508276524
929,great_pyrenees_6,15,"[25.536, 56.263999999999996, 198.464, 129.92000000000002]","[26, 34, 152, 154]",0.6706777496874838
930,Bengal_61,5,"[0.0, 32.928, 203.84, 158.144]","[0, 36, 169, 151]",0.7916286835454537
931,german_shorthaired_74,14,"[67.648, 61.192, 98.56, 125.44]","[50, 52, 155, 135]",0.5908418829151733
932,chihuahua_69,10,"[34.944, 1.792, 189.056, 218.624]","[34, 0, 157, 149]",0.5502113319653854
933,chihuahua_55,21,"[65.224, 3.136, 112.896, 220.864]","[48, 0, 152, 184]",0.6285840018914021
934,Bengal_38,5,"[0.0, 49.544, 181.888, 135.744]","[0, 45, 181, 179]",0.7555353947897241
935,english_setter_62,13,"[66.304, 12.928, 100.8, 194.43200000000002]","[33, 0, 157, 161]",0.49835104324234364
936,miniature_pinscher_85,2,"[47.304, 21.504, 123.2, 202.496]","[43, 0, 132, 167]",0.6166951256433546
937,american_pit_bull_terrier_74,2,"[54.656, 63.84, 134.848, 132.16]","[30, 56, 141, 168]",0.5883647320038784
938,japanese_chin_71,17,"[39.688, 84.224, 146.94400000000002, 137.984]","[49, 69, 142, 155]",0.8152431723156508
939,basset_hound_55,3,"[71.68, 71.456, 81.08800000000001, 117.824]","[47, 50, 139, 141]",0.4874795914077251
940,Bombay_79,7,"[27.62666666666667, 27.0, 195.62666666666667, 162.02666666666667]","[108, 38, 116, 136]",0.4929339470031713
941,Bombay_5,7,"[71.07737397420868, 23.371629542790153, 89.81008206330598, 175.15592028135993]","[49, 0, 142, 168]",0.4883540580393625
942,Bengal_28,5,"[67.016, 12.096, 86.912, 194.43200000000002]","[45, 61, 138, 142]",0.5109725225583255
943,havanese_76,16,"[4.928, 11.584, 218.17600000000002, 204.73600000000002]","[0, 43, 194, 147]",0.6122892678960973
944,Birman_61,6,"[0.0, 66.12, 164.864, 119.168]","[19, 53, 180, 142]",0.6247197098122382
945,keeshond_66,18,"[78.848, 87.232, 102.144, 99.904]","[53, 65, 140, 134]",0.5439549134328361
946,staffordshire_bull_terrier_200,34,"[74.816, 72.80000000000001, 103.936, 123.2]","[75, 58, 129, 145]",0.6825327026287435
947,leonberger_87,19,"[67.648, 40.544, 106.624, 155.008]","[50, 37, 174, 151]",0.5806055699339355
948,Bengal_197,11,"[20.906666666666666, 37.24, 203.09333333333333, 150.82666666666668]","[54, 19, 170, 144]",0.6337828287678987
949,pomeranian_95,24,"[45.96, 56.448, 135.744, 167.552]","[36, 52, 143, 150]",0.7798745226865748
950,Ragdoll_54,26,"[5.824, 39.344, 217.728, 143.808]","[30, 26, 129, 142]",0.5024346362273434
951,saint_bernard_198,28,"[31.808, 48.647999999999996, 119.168, 134.848]","[52, 60, 148, 164]",0.4347021393028761
952,yorkshire_terrier_48,36,"[51.968, 37.0, 90.944, 134.4]","[32, 31, 141, 136]",0.6039347790977694
953,english_setter_31,13,"[24.896, 19.264, 175.168, 201.6]","[45, 0, 142, 169]",0.5588139666003499
954,Maine_Coon_54,29,"[42.376, 7.168, 143.36, 183.232]","[47, 17, 145, 130]",0.6659542862671288
955,Egyptian_Mau_43,11,"[0.0, 28.0, 224.0, 167.552]","[41, 44, 157, 144]",0.6023716304703699
956,yorkshire_terrier_34,36,"[2.688, 37.0, 174.72, 148.736]","[45, 32, 157, 152]",0.6405325315579684
957,British_Shorthair_55,9,"[0.448, 44.616, 219.072, 141.568]","[0, 43, 205, 160]",0.8308003492501467
958,Egyptian_Mau_36,11,"[38.5719298245614, 18.07719298245614, 146.97543859649122, 205.92280701754385]","[54, 41, 170, 163]",0.5869214585786047
959,yorkshire_terrier_197,16,"[5.824, 32.928, 166.208, 163.072]","[0, 29, 190, 159]",0.8171997956604736
960,shiba_inu_34,31,"[56.448, 38.0, 129.024, 147.84]","[27, 33, 155, 152]",0.7633204028902691
961,american_pit_bull_terrier_22,8,"[0.0, 78.768, 203.84, 90.496]","[42, 45, 162, 154]",0.5094423536928389
962,yorkshire_terrier_61,36,"[3.584, 28.0, 185.472, 167.552]","[22, 22, 176, 171]",0.8201698726476733
963,Egyptian_Mau_201,7,"[1.973568281938326, 18.77533039647577, 222.02643171806167, 199.33039647577093]","[0, 46, 170, 149]",0.5619653675507764
964,american_bulldog_60,1,"[28.224, 59.808, 195.328, 136.64000000000001]","[0, 40, 190, 138]",0.5658834312190757
965,Bombay_214,7,"[11.946666666666667, 55.64, 119.46666666666667, 135.89333333333335]","[0, 46, 125, 133]",0.7373720085238369
966,Bengal_198,11,"[4.027027027027027, 21.18918918918919, 189.4918918918919, 187.07027027027027]","[30, 45, 194, 150]",0.6128824321829855
967,english_setter_193,13,"[53.088, 21.952, 142.464, 195.776]","[58, 26, 137, 137]",0.6729403184841573
968,Maine_Coon_80,20,"[41.888, 46.592, 106.176, 174.72]","[0, 44, 162, 138]",0.5419180072729306
969,Maine_Coon_246,20,"[27.62666666666667, 12.24, 173.2266666666667, 199.36]","[33, 111, 139, 113]",0.38566312736675606
970,Maine_Coon_33,20,"[12.544, 69.16, 211.45600000000002, 105.72800000000001]","[0, 50, 177, 129]",0.6254035278338963
971,keeshond_27,18,"[8.96, 53.088, 176.512, 134.4]","[52, 43, 172, 140]",0.5691912778244951
972,Ragdoll_87,26,"[17.024, 38.792, 133.504, 146.94400000000002]","[0, 44, 180, 149]",0.6877021375110381
973,Birman_73,6,"[5.376, 55.775999999999996, 57.344, 91.84]","[54, 24, 170, 154]",0.02613243219616223
974,Ragdoll_2,26,"[33.39636363636364, 40.14545454545455, 147.43272727272728, 138.47272727272727]","[84, 23, 140, 137]",0.4146268145568127
975,saint_bernard_58,28,"[54.656, 39.688, 116.928, 145.6]","[46, 30, 178, 154]",0.6122104423292839
976,Birman_28,6,"[19.264, 52.64, 195.328, 131.264]","[0, 34, 158, 144]",0.5610379094195099
977,wheaten_terrier_19,35,"[34.944, 57.608000000000004, 159.936, 123.648]","[47, 43, 122, 131]",0.6586817819723245
978,wheaten_terrier_60,35,"[73.024, 28.448, 150.976, 134.4]","[51, 18, 173, 141]",0.7892309504272886
979,yorkshire_terrier_41,36,"[5.376, 55.816, 189.504, 97.664]","[24, 43, 150, 139]",0.5929063318806171
980,Ragdoll_68,26,"[9.856, 12.824, 213.248, 203.392]","[23, 25, 158, 164]",0.5974232243243428
981,boxer_4,34,"[33.152, 58.056, 89.152, 118.72]","[0, 42, 157, 145]",0.464929735998243
982,beagle_59,4,"[62.984, 61.376000000000005, 112.896, 124.544]","[32, 72, 138, 152]",0.5336452497758722
983,staffordshire_bull_terrier_50,34,"[70.336, 45.848, 125.888, 146.496]","[65, 24, 159, 164]",0.6721754415288029
984,great_pyrenees_24,15,"[43.904, 40.16, 143.808, 152.32]","[0, 22, 161, 144]",0.4854587873149776
985,Ragdoll_228,6,"[30.613333333333333, 46.21333333333333, 166.50666666666666, 139.62666666666667]","[0, 49, 202, 147]",0.7555134074267068
986,saint_bernard_87,28,"[0.448, 43.68, 211.008, 144.256]","[39, 34, 185, 147]",0.6974935412944063
987,Russian_Blue_51,27,"[61.192, 4.928, 119.168, 215.936]","[42, 0, 138, 144]",0.568151523490661
988,american_pit_bull_terrier_204,2,"[32.10666666666667, 54.413333333333334, 121.70666666666668, 123.2]","[43, 30, 155, 143]",0.5471243229720809
989,Abyssinian_224,0,"[51.14666666666667, 11.200000000000001, 133.65333333333334, 212.8]","[77, 36, 147, 140]",0.44480559492266936
990,Birman_63,6,"[32.032, 4.928, 160.832, 215.488]","[19, 0, 205, 172]",0.6242159142379786
991,staffordshire_bull_terrier_83,34,"[94.528, 28.0, 55.552, 135.296]","[72, 30, 152, 150]",0.3231995888107356
992,Siamese_30,32,"[56.672, 25.984, 138.88, 198.016]","[35, 58, 165, 148]",0.655298554845914
993,havanese_22,16,"[57.344, 45.512, 92.736, 128.576]","[48, 24, 152, 144]",0.5059128529153596
994,beagle_79,4,"[62.72, 66.568, 67.2, 77.504]","[39, 30, 131, 137]",0.29020275254917266
995,British_Shorthair_263,7,"[28.746666666666666, 14.186666666666667, 147.09333333333333, 209.81333333333333]","[25, 0, 181, 176]",0.6116088242764448
996,chihuahua_193,10,"[66.45333333333333, 61.30666666666667, 84.37333333333333, 118.72]","[50, 34, 148, 143]",0.45572919269018675
997,boxer_87,8,"[61.824, 52.64, 159.04, 143.36]","[79, 34, 145, 157]",0.756778029360819
998,german_shorthaired_91,14,"[61.152, 17.472, 73.024, 186.368]","[34, 17, 138, 144]",0.4556882617206433
999,english_setter_30,13,"[28.448, 69.888, 164.864, 153.66400000000002]","[19, 57, 148, 167]",0.7403004680772152
1000,boxer_92,8,"[1.344, 22.240000000000002, 184.12800000000001, 178.752]","[19, 44, 156, 157]",0.7440719070867011
1001,miniature_pinscher_33,21,"[49.448, 51.968, 61.824, 171.136]","[0, 41, 133, 138]",0.37255080224881876
1002,scottish_terrier_38,30,"[59.120000000000005, 32.704, 117.824, 149.632]","[28, 0, 141, 155]",0.5159020489995302
1003,saint_bernard_29,28,"[88.896, 26.88, 97.21600000000001, 169.792]","[58, 0, 136, 136]",0.4348644821704211
1004,japanese_chin_198,22,"[67.392, 8.512, 119.168, 210.112]","[66, 0, 158, 181]",0.6213443237118305
1005,Russian_Blue_21,27,"[16.039506172839506, 7.637037037037036, 207.4074074074074, 214.59753086419752]","[40, 19, 156, 166]",0.5818133777351147
1006,japanese_chin_4,17,"[55.104, 56.672, 107.52, 122.304]","[43, 36, 144, 144]",0.6341688888888889
1007,keeshond_58,18,"[26.88, 52.912, 186.368, 146.048]","[46, 40, 178, 143]",0.7037507375407418
1008,Birman_196,26,"[58.98666666666667, 41.49333333333333, 114.98666666666668, 141.86666666666667]","[39, 26, 128, 135]",0.6240584655464445
1009,scottish_terrier_91,30,"[37.896, 5.824, 142.912, 218.17600000000002]","[38, 0, 166, 162]",0.6235375731914572
1010,boxer_46,8,"[71.232, 49.272, 95.424, 128.12800000000001]","[41, 21, 143, 138]",0.4872397087183905
1011,Maine_Coon_27,20,"[18.816, 77.768, 151.872, 73.47200000000001]","[72, 52, 152, 139]",0.2896205245872446
1012,american_bulldog_82,1,"[59.848, 15.232000000000001, 96.768, 186.368]","[38, 0, 145, 159]",0.5119026990920604
1013,japanese_chin_30,17,"[129.736, 2.24, 56.448, 149.184]","[35, 28, 168, 164]",0.24019216084574502
1014,Persian_9,6,"[0.0, 33.448, 224.0, 154.56]","[33, 42, 191, 155]",0.767428810196629
1015,havanese_47,16,"[17.472, 45.96, 133.504, 125.44]","[0, 26, 130, 131]",0.5871311346909894
1016,Birman_85,6,"[0.0, 39.688, 214.592, 142.016]","[50, 30, 119, 148]",0.5203912903120395
1017,staffordshire_bull_terrier_53,34,"[45.696, 48.647999999999996, 140.224, 129.024]","[0, 36, 183, 155]",0.6163685665170185
1018,Abyssinian_47,0,"[0.0, 37.0, 223.104, 148.736]","[75, 33, 149, 134]",0.5680161824926048
1019,staffordshire_bull_terrier_80,2,"[35.392, 74.144, 150.08, 93.184]","[71, 44, 124, 124]",0.5706057635008154
1020,Birman_193,6,"[35.392, 45.512, 120.96000000000001, 137.536]","[0, 33, 160, 145]",0.6730508423916609
1021,Egyptian_Mau_98,11,"[7.466666666666667, 43.653333333333336, 185.17333333333335, 150.82666666666668]","[40, 52, 184, 144]",0.6655505148292785
1022,japanese_chin_67,28,"[4.928, 73.80000000000001, 150.528, 79.744]","[0, 32, 129, 153]",0.4528827822169697
1023,yorkshire_terrier_40,36,"[56.896, 28.448, 106.624, 167.552]","[34, 21, 154, 150]",0.5899130797652683
1024,german_shorthaired_194,14,"[33.152, 60.296, 190.848, 125.44]","[59, 43, 165, 146]",0.7572558705067172
1025,shiba_inu_57,31,"[63.79443254817987, 35.974304068522486, 109.36188436830835, 175.55460385438974]","[42, 45, 163, 157]",0.621640564055334
1026,wheaten_terrier_78,35,"[12.544, 29.344, 172.032, 146.496]","[22, 62, 158, 132]",0.6407516893428521
1027,chihuahua_65,10,"[35.6, 9.856, 113.34400000000001, 188.16]","[33, 0, 147, 145]",0.5605963997445994
1028,basset_hound_50,3,"[44.800000000000004, 61.296, 156.352, 122.304]","[52, 59, 127, 134]",0.7537222553877226
1029,american_pit_bull_terrier_92,2,"[86.464, 67.912, 83.776, 114.688]","[73, 52, 151, 136]",0.46786627814569565
1030,beagle_89,4,"[69.888, 64.776, 77.952, 109.312]","[40, 35, 130, 141]",0.46487119607201305
1031,japanese_chin_192,17,"[29.344, 36.288000000000004, 116.48, 132.16]","[38, 17, 140, 152]",0.6354813807300665
1032,keeshond_192,18,"[27.328, 28.0, 195.776, 168.0]","[29, 41, 153, 154]",0.716379944426283
1033,Egyptian_Mau_23,5,"[44.352000000000004, 59.504000000000005, 145.15200000000002, 81.536]","[69, 49, 155, 137]",0.42269482626366134
