index,pred_class,true_bbox,cam_bboxes,vggnet_adv_iou
beagle_20,4,"[0.0, 32.064, 191.296, 159.936]","[70, 29, 76, 52]",0.12064156888004024
Bengal_85,5,"[21.056, 31.128, 130.368, 174.72]","[18, 57, 116, 135]",0.6574876910058095
great_pyrenees_1,15,"[56.6, 9.8, 124.60000000000001, 205.33333333333334]","[57, 0, 69, 72]",0.16343031801599853
english_cocker_spaniel_65,3,"[84.408, 94.976, 94.976, 116.48]","[90, 92, 58, 58]",0.28404760445430477
german_shorthaired_81,14,"[55.72, 4.928, 113.792, 219.072]","[64, 55, 86, 77]",0.2656382268742481
yorkshire_terrier_74,36,"[58.056, 57.792, 95.424, 147.392]","[91, 66, 62, 55]",0.24245036909836495
english_setter_69,13,"[58.504000000000005, 21.056, 126.336, 202.94400000000002]","[68, 95, 96, 95]",0.35570625319311877
samoyed_95,29,"[65.632, 37.184, 96.32000000000001, 170.24]","[79, 62, 66, 52]",0.20929998376339518
german_shorthaired_36,14,"[7.6160000000000005, 71.048, 129.472, 114.24000000000001]","[84, 72, 61, 60]",0.20865735594530094
keeshond_1,31,"[0.0, 4.032, 212.8, 219.96800000000002]","[159, 150, 65, 44]",0.050044405742385
english_cocker_spaniel_68,12,"[47.304, 12.544, 125.44, 208.32]","[67, 24, 61, 69]",0.16106898188422836
keeshond_9,18,"[37.46666666666667, 62.06666666666667, 142.33333333333334, 140.46666666666667]","[103, 69, 77, 64]",0.24568765863384673
samoyed_34,29,"[0.0, 93.856, 51.072, 101.248]","[91, 65, 64, 62]",0.0
german_shorthaired_52,14,"[65.904, 47.04, 111.104, 152.768]","[64, 53, 66, 45]",0.1690809034837093
american_pit_bull_terrier_35,2,"[14.336, 46.712, 146.496, 145.6]","[96, 63, 65, 64]",0.19443004932726823
boxer_39,8,"[39.688, 7.168, 139.328, 213.696]","[97, 0, 64, 95]",0.18593340227608632
British_Shorthair_273,9,"[53.95652173913044, 11.68695652173913, 147.0608695652174, 211.82608695652175]","[69, 36, 78, 65]",0.16275389323347517
american_bulldog_42,1,"[30.016000000000002, 43.232, 193.536, 152.32]","[122, 41, 86, 79]",0.2225057765072406
german_shorthaired_76,14,"[69.888, 49.952, 96.32000000000001, 128.576]","[100, 52, 64, 70]",0.3617442439255906
american_bulldog_73,1,"[48.16, 39.424, 104.83200000000001, 172.928]","[76, 36, 63, 77]",0.2526854942865658
saint_bernard_83,8,"[28.896, 12.096, 166.208, 187.264]","[64, 34, 111, 65]",0.23180890529808434
scottish_terrier_64,30,"[98.824, 14.336, 82.432, 160.832]","[107, 30, 69, 63]",0.3278848425686431
english_setter_42,13,"[31.36, 58.504000000000005, 192.192, 128.12800000000001]","[78, 62, 53, 48]",0.10330890388332943
english_cocker_spaniel_22,12,"[49.448, 2.688, 125.44, 221.312]","[63, 71, 60, 54]",0.1167089070301342
Abyssinian_99,0,"[61.724444444444444, 76.82666666666667, 105.52888888888889, 95.07555555555555]","[95, 89, 63, 50]",0.3139571055040855
pomeranian_72,24,"[38.792, 19.264, 145.15200000000002, 204.288]","[62, 77, 86, 73]",0.211716853275992
english_setter_92,13,"[52.232, 39.872, 132.16, 184.12800000000001]","[93, 38, 49, 59]",0.11460174889233822
scottish_terrier_62,30,"[40.32, 68.36, 116.48, 98.11200000000001]","[70, 58, 84, 99]",0.6054287506529669
pomeranian_2,24,"[66.12, 62.272, 119.168, 161.728]","[88, 92, 69, 50]",0.1790087370576081
Ragdoll_97,26,"[6.72, 38.304, 217.28, 157.696]","[53, 54, 61, 73]",0.1299607667794742
Persian_74,23,"[50.504000000000005, 7.168, 141.12, 197.568]","[71, 36, 64, 62]",0.14232018258118492
newfoundland_89,22,"[167.104, 71.49600000000001, 47.04, 84.224]","[163, 117, 61, 40]",0.39763902527356293
havanese_4,16,"[65.224, 63.168, 83.328, 144.704]","[79, 64, 67, 59]",0.3278350017850943
Egyptian_Mau_84,11,"[78.1159420289855, 9.27536231884058, 81.62318840579711, 210.55072463768116]","[77, 54, 73, 81]",0.337030388142671
american_bulldog_221,1,"[25.984, 50.856, 140.224, 86.016]","[95, 61, 67, 56]",0.31107222491632436
american_pit_bull_terrier_96,2,"[107.744, 103.936, 88.256, 120.06400000000001]","[111, 98, 76, 55]",0.3375299859939842
english_cocker_spaniel_58,12,"[31.808, 56.712, 125.888, 129.024]","[89, 65, 74, 76]",0.3136487571002121
boxer_75,21,"[25.536, 71.904, 125.888, 96.768]","[93, 64, 60, 69]",0.27990469802224666
beagle_62,3,"[0.0, 45.064, 156.352, 141.12]","[127, 89, 39, 64]",0.08282069826719866
german_shorthaired_46,2,"[68.70400000000001, 14.336, 81.536, 195.776]","[78, 38, 65, 115]",0.4682764788246125
leonberger_88,19,"[56.536, 0.0, 104.384, 217.28]","[82, 157, 38, 27]",0.04523698721114922
yorkshire_terrier_59,36,"[0.0, 15.0, 224.0, 193.536]","[43, 108, 105, 74]",0.17923022073412698
Bombay_82,7,"[20.533333333333335, 84.0, 182.93333333333334, 92.4]","[22, 91, 91, 66]",0.3553206997084548
Egyptian_Mau_49,11,"[33.6, 49.92, 177.40800000000002, 124.992]","[57, 53, 68, 97]",0.29745770973209523
english_cocker_spaniel_4,12,"[14.784, 53.128, 164.864, 117.824]","[103, 130, 54, 30]",0.08339795844565301
Russian_Blue_244,0,"[0.7466666666666667, 81.01333333333334, 166.50666666666666, 94.08]","[0, 125, 180, 36]",0.37114411931138225
Abyssinian_81,0,"[0.0, 28.448, 224.0, 166.208]","[41, 56, 116, 95]",0.2959931445624072
english_setter_76,15,"[31.36, 68.36, 150.08, 104.384]","[69, 62, 62, 51]",0.1723308434990067
wheaten_terrier_199,19,"[57.792, 76.52799999999999, 61.824, 107.072]","[38, 80, 74, 95]",0.6058641444848156
Russian_Blue_212,27,"[0.0, 43.72, 165.312, 142.464]","[62, 37, 94, 114]",0.4170057389707708
Abyssinian_51,0,"[44.0, 22.46153846153846, 109.53846153846155, 180.92307692307693]","[45, 76, 105, 105]",0.5563114466292134
pug_59,25,"[0.896, 61.328, 132.608, 128.12800000000001]","[43, 70, 74, 63]",0.2743838193056943
yorkshire_terrier_46,36,"[37.448, 1.792, 149.184, 222.208]","[49, 29, 81, 73]",0.17837169571130543
leonberger_192,19,"[52.192, 30.464000000000002, 116.48, 172.48]","[66, 38, 106, 114]",0.5717971020655225
chihuahua_21,10,"[39.928, 50.624, 123.2, 132.608]","[115, 50, 55, 52]",0.14784282332309875
keeshond_98,18,"[0.0, 67.424, 176.512, 88.70400000000001]","[98, 73, 68, 56]",0.24320892023937707
keeshond_193,10,"[36.224000000000004, 22.848, 132.608, 182.784]","[140, 204, 21, 20]",0.001391793157923008
yorkshire_terrier_81,36,"[51.52, 28.448, 88.70400000000001, 167.552]","[65, 36, 65, 70]",0.3061389414581259
Bombay_23,7,"[0.0, 54.368, 185.92000000000002, 133.504]","[89, 87, 77, 63]",0.19543884430338807
basset_hound_59,3,"[28.448, 61.376000000000005, 97.664, 162.624]","[42, 122, 86, 58]",0.3050582557957007
wheaten_terrier_24,35,"[55.104, 42.928, 155.008, 142.912]","[54, 35, 88, 119]",0.42013670009662846
wheaten_terrier_65,35,"[82.432, 91.656, 81.08800000000001, 71.232]","[96, 94, 65, 45]",0.5064005203092391
Russian_Blue_87,27,"[28.408, 4.928, 177.40800000000002, 219.072]","[134, 31, 29, 36]",0.026862128705358326
english_setter_24,13,"[12.096, 63.879999999999995, 163.072, 117.824]","[44, 64, 55, 39]",0.11163853696693235
saint_bernard_61,28,"[31.36, 42.336, 133.504, 153.66400000000002]","[65, 59, 59, 45]",0.12941902191101262
Maine_Coon_266,20,"[0.0, 46.75, 168.0, 140.0]","[42, 100, 107, 69]",0.3139030612244898
wheaten_terrier_21,35,"[0.0, 33.824, 199.808, 161.728]","[99, 109, 14, 6]",0.0025994483790311275
British_Shorthair_82,27,"[0.0, 34.72, 218.17600000000002, 115.584]","[106, 42, 100, 102]",0.4044785324950858
Maine_Coon_64,20,"[28.272, 12.544, 173.824, 198.912]","[48, 77, 88, 76]",0.19343076113142385
great_pyrenees_19,15,"[41.266666666666666, 36.4, 133.46666666666667, 167.06666666666666]","[109, 92, 71, 61]",0.17727202794413457
Abyssinian_37,0,"[73.22000000000001, 72.24000000000001, 150.78, 87.22000000000001]","[86, 68, 68, 90]",0.4339256962367142
miniature_pinscher_54,21,"[32.480000000000004, 32.256, 136.192, 191.744]","[76, 39, 76, 72]",0.20954278323478923
Siamese_24,32,"[39.872, 29.792, 162.17600000000002, 165.76]","[113, 43, 74, 54]",0.1486480296538505
pug_33,25,"[39.872, 39.856, 132.16, 145.6]","[111, 36, 61, 61]",0.17896270362761293
staffordshire_bull_terrier_70,2,"[57.568, 30.016000000000002, 130.368, 190.4]","[93, 30, 65, 57]",0.1492141966820334
Birman_45,6,"[0.0, 34.272, 216.832, 143.36]","[30, 61, 113, 72]",0.26173365620783434
Bombay_20,7,"[0.0, 54.472, 201.15200000000002, 131.712]","[91, 76, 66, 56]",0.139502587544722
Russian_Blue_72,27,"[29.792, 9.408, 151.424, 214.592]","[65, 0, 123, 120]",0.3736011697866976
Bombay_83,7,"[27.62666666666667, 36.21333333333333, 174.72, 135.14666666666668]","[132, 69, 64, 62]",0.16804426828104807
Bombay_53,7,"[0.0, 11.2, 200.58181818181816, 212.79999999999998]","[43, 36, 135, 123]",0.38902337083644584
Ragdoll_47,26,"[32.256, 41.480000000000004, 166.656, 142.912]","[90, 62, 72, 72]",0.21765835467567549
english_cocker_spaniel_48,12,"[62.272, 60.296, 161.728, 124.096]","[128, 91, 36, 71]",0.12735554260505366
american_pit_bull_terrier_63,29,"[48.647999999999996, 12.544, 131.712, 196.22400000000002]","[80, 39, 58, 59]",0.13240443618272954
Siamese_60,32,"[30.912, 37.856, 151.872, 157.248]","[97, 44, 74, 75]",0.23239679825488926
British_Shorthair_52,27,"[54.208, 13.888, 169.792, 207.872]","[88, 0, 61, 103]",0.15040137064679693
shiba_inu_86,31,"[23.296, 22.400000000000002, 158.592, 195.328]","[25, 62, 89, 89]",0.2557020642234891
Abyssinian_90,5,"[24.688, 19.264, 174.72, 204.73600000000002]","[57, 124, 84, 58]",0.13619791040469376
english_setter_79,13,"[56.448, 56.263999999999996, 106.624, 118.72]","[60, 55, 65, 60]",0.2996602674007154
basset_hound_32,3,"[12.544, 38.032, 93.632, 102.144]","[65, 87, 56, 48]",0.1923456951785246
Egyptian_Mau_81,11,"[67.176, 57.792, 132.16, 137.536]","[77, 67, 51, 79]",0.22165669219987447
samoyed_65,29,"[36.736000000000004, 75.03999999999999, 140.224, 100.352]","[61, 93, 60, 55]",0.23451226215897134
boxer_93,8,"[37.448, 19.712, 125.44, 178.304]","[76, 32, 79, 62]",0.2189886717204829
english_cocker_spaniel_2,22,"[0.448, 25.448, 223.552, 166.656]","[114, 39, 47, 80]",0.10092257699511377
pomeranian_191,24,"[53.013333333333335, 51.89333333333333, 170.98666666666668, 143.36]","[69, 77, 91, 64]",0.23759162507797876
german_shorthaired_60,14,"[94.976, 75.976, 49.728, 81.536]","[74, 64, 72, 57]",0.3782227641192118
american_bulldog_92,1,"[49.992000000000004, 47.04, 107.968, 175.168]","[92, 64, 64, 59]",0.19965590421627788
samoyed_82,29,"[68.544, 36.064, 103.488, 142.912]","[63, 58, 66, 46]",0.18484754131361852
staffordshire_bull_terrier_89,34,"[49.728, 45.96, 114.24000000000001, 121.408]","[100, 39, 61, 61]",0.2306136553505994
pug_58,25,"[77.24799999999999, 64.06400000000001, 94.08, 123.2]","[106, 63, 59, 58]",0.28826048841234064
British_Shorthair_32,9,"[36.288000000000004, 21.784, 152.32, 186.816]","[60, 68, 63, 66]",0.14612128574451363
Sphynx_34,33,"[46.64, 30.912, 128.576, 193.088]","[44, 44, 139, 101]",0.5017976778342975
Abyssinian_92,0,"[43.504000000000005, 21.056, 155.45600000000002, 202.94400000000002]","[59, 87, 65, 71]",0.14628102693927922
german_shorthaired_97,14,"[0.0, 59.848, 147.392, 126.784]","[37, 73, 116, 84]",0.48402331374868934
British_Shorthair_37,9,"[66.304, 65.184, 81.536, 112.896]","[71, 65, 66, 69]",0.4927570309453206
miniature_pinscher_31,21,"[98.11200000000001, 39.24, 91.392, 139.776]","[110, 65, 58, 65]",0.2951213037298252
beagle_4,21,"[105.72800000000001, 57.608000000000004, 60.928000000000004, 93.632]","[93, 52, 32, 67]",0.17749869281137357
great_pyrenees_93,15,"[40.136, 19.712, 145.6, 198.464]","[92, 33, 70, 66]",0.15988173790092527
american_bulldog_79,1,"[28.672, 65.112, 180.992, 133.504]","[64, 64, 61, 39]",0.09538067548265809
american_bulldog_212,1,"[9.856, 41.888, 214.144, 153.66400000000002]","[125, 37, 60, 59]",0.09779423323773107
Ragdoll_261,26,"[1.792, 16.992, 221.76, 202.048]","[93, 83, 69, 52]",0.08007826694475412
japanese_chin_20,17,"[36.512, 39.424, 146.94400000000002, 163.968]","[104, 45, 61, 58]",0.14684084380703502
Russian_Blue_44,27,"[37.896, 10.752, 147.392, 213.248]","[40, 0, 120, 128]",0.4299879478196169
miniature_pinscher_49,21,"[44.992000000000004, 10.752, 138.88, 213.248]","[62, 74, 99, 75]",0.25071007305572
boxer_24,8,"[77.952, 36.512, 116.032, 159.488]","[109, 110, 5, 9]",0.0024316816847558074
yorkshire_terrier_77,36,"[71.456, 66.304, 75.264, 102.144]","[65, 72, 52, 63]",0.3544720638903985
chihuahua_6,10,"[23.296, 40.584, 78.4, 90.944]","[43, 34, 60, 55]",0.37450666879342576
British_Shorthair_46,9,"[0.896, 32.480000000000004, 166.208, 160.832]","[89, 61, 70, 58]",0.15188037032230248
staffordshire_bull_terrier_202,8,"[44.576, 59.584, 151.424, 139.776]","[109, 51, 48, 42]",0.07433530322183475
japanese_chin_57,17,"[0.448, 72.80000000000001, 172.48, 101.696]","[70, 86, 61, 48]",0.16692771851002544
boxer_63,8,"[37.0, 8.512, 139.328, 215.488]","[71, 20, 72, 73]",0.17506279707703684
japanese_chin_50,28,"[73.024, 57.120000000000005, 65.408, 102.144]","[64, 44, 46, 54]",0.19750278897276694
Persian_81,23,"[0.0, 33.824, 219.52, 144.256]","[127, 64, 64, 62]",0.12530363901169542
miniature_pinscher_1,21,"[72.128, 55.328, 110.656, 111.104]","[102, 74, 66, 66]",0.35430983603771926
english_cocker_spaniel_57,16,"[38.08, 42.824, 148.288, 143.36]","[99, 72, 58, 64]",0.17461195203156787
american_bulldog_3,28,"[127.68, 56.064, 42.112, 79.296]","[124, 48, 46, 45]",0.40360757485100035
Maine_Coon_71,20,"[2.688, 37.0, 220.864, 148.736]","[25, 77, 79, 72]",0.17314842950059128
Russian_Blue_221,27,"[57.49333333333334, 73.54666666666667, 137.38666666666668, 85.12]","[73, 89, 72, 47]",0.289370432097324
beagle_1,4,"[26.88, 50.224000000000004, 145.15200000000002, 143.808]","[99, 58, 77, 62]",0.2143928283948526
Abyssinian_71,0,"[50.554621848739494, 59.89915966386555, 162.6890756302521, 108.10084033613445]","[47, 97, 79, 59]",0.2501202587891291
japanese_chin_92,17,"[86.912, 70.6, 109.76, 81.536]","[80, 71, 65, 57]",0.3543704359962692
Persian_46,23,"[0.0, 28.0, 223.104, 167.552]","[29, 63, 68, 65]",0.11824023831876672
keeshond_79,19,"[47.04, 39.647999999999996, 106.176, 156.352]","[56, 44, 92, 90]",0.49877024365293615
basset_hound_73,3,"[29.344, 24.64, 163.072, 199.36]","[48, 98, 117, 61]",0.2195322224997543
english_cocker_spaniel_44,15,"[34.048, 54.472, 145.15200000000002, 116.928]","[24, 35, 58, 52]",0.08463946551108
staffordshire_bull_terrier_85,8,"[0.0, 58.952, 134.4, 126.784]","[61, 76, 56, 76]",0.24976863536934205
yorkshire_terrier_2,36,"[55.816, 86.016, 90.496, 81.984]","[84, 85, 61, 55]",0.44017323047491225
pomeranian_28,24,"[37.448, 16.128, 147.84, 202.496]","[52, 44, 78, 71]",0.18498842241039617
yorkshire_terrier_53,36,"[62.944, 0.0, 129.92000000000002, 189.504]","[96, 27, 82, 75]",0.2497932637838701
shiba_inu_99,31,"[59.584, 37.0, 139.328, 124.096]","[61, 37, 64, 60]",0.22209308578620834
havanese_80,35,"[0.0, 37.0, 206.976, 137.536]","[60, 34, 127, 62]",0.2597438510565327
japanese_chin_74,17,"[71.232, 58.912, 152.768, 137.088]","[52, 78, 63, 55]",0.10941791318155981
Abyssinian_89,0,"[0.0, 22.896, 215.936, 163.52]","[108, 90, 79, 53]",0.11857879431116503
english_setter_82,13,"[15.68, 64.392, 172.032, 90.944]","[117, 64, 71, 78]",0.34964355535088854
american_pit_bull_terrier_1,14,"[25.088, 56.712, 187.71200000000002, 118.272]","[64, 38, 91, 88]",0.2637735707114455
Russian_Blue_94,27,"[39.848, 44.800000000000004, 105.28, 179.20000000000002]","[93, 48, 60, 83]",0.22165590685687858
pug_26,25,"[32.344, 46.144, 158.592, 177.856]","[89, 65, 67, 69]",0.1638981670401585
Persian_75,23,"[29.344, 0.0, 166.208, 223.552]","[92, 52, 65, 53]",0.09271686594763873
american_pit_bull_terrier_73,2,"[86.464, 58.464, 73.92, 117.824]","[99, 69, 59, 62]",0.41999873316073744
pug_88,25,"[42.376, 24.192, 134.848, 181.44]","[90, 32, 64, 58]",0.1517156635017733
german_shorthaired_33,14,"[32.376, 21.056, 159.488, 196.672]","[78, 22, 74, 85]",0.20053034418894122
saint_bernard_196,21,"[54.312, 20.16, 157.696, 168.0]","[35, 35, 92, 87]",0.2244645525344201
samoyed_70,29,"[85.12, 64.776, 48.384, 99.456]","[76, 65, 57, 56]",0.5037349611757955
Persian_5,23,"[4.48, 46.93333333333334, 200.48000000000002, 124.69333333333334]","[130, 55, 63, 50]",0.1260074623299291
yorkshire_terrier_30,21,"[71.232, 47.128, 75.264, 120.96000000000001]","[83, 69, 70, 95]",0.6204727170736571
boxer_194,8,"[0.0, 29.344, 194.43200000000002, 164.416]","[105, 62, 52, 40]",0.06506561112120485
pug_47,25,"[24.64, 45.96, 167.104, 139.776]","[42, 70, 80, 62]",0.21235486873652326
havanese_88,16,"[34.944, 41.480000000000004, 137.984, 129.92000000000002]","[76, 54, 62, 63]",0.2178850821284626
Russian_Blue_30,27,"[0.0, 37.448, 147.392, 150.08]","[36, 37, 106, 108]",0.5142760369475687
miniature_pinscher_77,21,"[55.096000000000004, 31.808, 119.168, 188.608]","[70, 41, 59, 64]",0.1680011386262933
Persian_38,9,"[75.712, 75.03999999999999, 148.288, 120.96000000000001]","[80, 79, 65, 57]",0.20655724210630874
Bengal_199,11,"[25.39271255060729, 21.720647773279353, 143.28744939271255, 180.46963562753038]","[55, 55, 70, 49]",0.13264223361665925
newfoundland_62,22,"[75.264, 73.736, 68.992, 111.104]","[70, 131, 67, 50]",0.3893302637177201
wheaten_terrier_87,29,"[83.328, 67.424, 37.632, 52.416000000000004]","[78, 106, 47, 58]",0.12466856724014268
basset_hound_8,3,"[10.304, 38.0, 121.408, 137.088]","[74, 77, 60, 51]",0.17561246734591573
Persian_58,9,"[0.0, 58.056, 198.464, 124.096]","[94, 65, 62, 59]",0.14852657891721363
newfoundland_30,30,"[77.056, 86.392, 79.296, 66.752]","[63, 94, 94, 62]",0.7292295982163667
havanese_26,16,"[47.752, 38.08, 118.72, 154.112]","[63, 98, 61, 61]",0.20337582398854673
samoyed_51,29,"[45.024, 34.944, 126.784, 188.16]","[86, 68, 63, 60]",0.15845284668637774
beagle_201,4,"[1.344, 56.944, 138.43200000000002, 106.176]","[62, 59, 62, 56]",0.2362201076407786
american_bulldog_61,4,"[14.336, 74.632, 189.952, 102.592]","[118, 68, 51, 60]",0.1372842308769891
Russian_Blue_83,27,"[66.304, 60.744, 112.896, 123.2]","[68, 88, 85, 74]",0.45223209684306626
Persian_270,26,"[0.7466666666666667, 14.973333333333333, 223.25333333333333, 197.86666666666667]","[25, 143, 121, 81]",0.18562736673442828
Bengal_87,5,"[77.504, 57.568, 74.368, 100.352]","[95, 70, 61, 55]",0.40675589949656027
newfoundland_87,22,"[28.896, 5.376, 157.248, 218.624]","[96, 51, 62, 83]",0.14968794128447235
yorkshire_terrier_4,36,"[39.872, 66.08, 170.24, 120.96000000000001]","[48, 74, 76, 67]",0.24727773053665905
staffordshire_bull_terrier_26,14,"[93.584, 58.688, 75.712, 133.056]","[87, 89, 64, 46]",0.2545231702045877
american_bulldog_45,1,"[67.464, 37.632, 103.488, 180.544]","[83, 40, 70, 64]",0.2397755853977052
shiba_inu_63,31,"[14.336, 51.792, 139.776, 122.75200000000001]","[104, 55, 60, 48]",0.1364178994222014
Persian_87,23,"[50.992000000000004, 42.56, 129.92000000000002, 167.104]","[73, 32, 66, 55]",0.1308977275557543
British_Shorthair_84,9,"[0.448, 28.0, 167.552, 167.104]","[49, 43, 69, 63]",0.15525771071894515
British_Shorthair_47,26,"[0.0, 49.096000000000004, 166.208, 136.64000000000001]","[72, 63, 79, 60]",0.20871255024036922
basset_hound_94,4,"[49.28, 51.784, 150.976, 85.568]","[61, 79, 54, 46]",0.19227919506858474
japanese_chin_21,17,"[33.6, 54.879999999999995, 145.6, 141.12]","[95, 70, 68, 60]",0.19856843836435673
keeshond_87,30,"[0.0, 36.064, 185.472, 158.144]","[140, 141, 8, 5]",0.0013637316403754915
pug_70,25,"[60.480000000000004, 65.152, 142.464, 113.34400000000001]","[64, 63, 55, 52]",0.16855242685414373
Abyssinian_217,11,"[48.73770491803279, 13.77049180327869, 151.47540983606558, 175.34426229508196]","[64, 67, 119, 75]",0.33602727442714353
shiba_inu_6,31,"[76.16, 50.024, 127.68, 135.744]","[68, 47, 57, 57]",0.14690697740855618
Bengal_24,5,"[30.464000000000002, 80.864, 150.976, 61.376000000000005]","[33, 94, 100, 62]",0.45328534724850905
pomeranian_89,24,"[28.448, 0.0, 167.552, 223.552]","[46, 95, 132, 78]",0.2748782378682937
leonberger_197,19,"[71.68, 60.704, 120.06400000000001, 124.544]","[105, 82, 73, 69]",0.33684983031317867
British_Shorthair_3,9,"[54.57454545454546, 56.43636363636364, 98.56, 114.8509090909091]","[97, 61, 63, 67]",0.3192795573363763
boxer_40,8,"[40.136, 10.304, 143.36, 213.696]","[66, 27, 98, 73]",0.2335202518998952
leonberger_194,19,"[23.296, 45.024, 184.12800000000001, 129.024]","[21, 63, 142, 104]",0.6054921037528811
american_pit_bull_terrier_38,1,"[12.992, 38.896, 187.264, 115.136]","[133, 38, 56, 66]",0.16870220449708914
yorkshire_terrier_45,36,"[41.928, 4.48, 143.36, 219.52]","[58, 66, 81, 69]",0.1775955270102301
miniature_pinscher_80,21,"[49.448, 45.696, 124.096, 109.76]","[64, 80, 66, 59]",0.285886775140322
beagle_37,4,"[29.064, 0.0, 168.448, 206.528]","[61, 98, 50, 69]",0.09916862616360063
Abyssinian_72,0,"[66.12, 0.0, 120.06400000000001, 179.648]","[65, 25, 73, 72]",0.23904778332984428
japanese_chin_43,17,"[52.6, 23.296, 116.928, 181.888]","[54, 106, 63, 55]",0.16292235161008517
chihuahua_199,10,"[47.04, 34.72, 118.72, 159.04000000000002]","[107, 36, 74, 65]",0.1922017363595644
Maine_Coon_46,32,"[3.136, 32.0, 136.64000000000001, 158.144]","[72, 0, 77, 93]",0.16782053077753428
american_bulldog_208,33,"[12.544, 42.376, 91.392, 143.808]","[48, 63, 61, 48]",0.20057772811528307
pomeranian_97,29,"[52.416000000000004, 91.656, 37.184, 49.728]","[39, 93, 56, 63]",0.5028292559793013
Maine_Coon_50,20,"[77.768, 36.288000000000004, 76.608, 60.480000000000004]","[89, 60, 63, 45]",0.44962022938849294
english_setter_72,15,"[37.448, 42.56, 144.256, 181.44]","[59, 38, 99, 77]",0.2693518508302651
pug_6,25,"[12.544, 64.776, 118.272, 120.06400000000001]","[31, 68, 63, 90]",0.39928988630306256
Abyssinian_63,11,"[26.880000000000003, 26.493333333333332, 197.12, 170.24]","[50, 50, 67, 55]",0.10981083428437165
wheaten_terrier_80,36,"[28.448, 0.0, 167.104, 206.976]","[85, 70, 74, 59]",0.12623416044980715
Siamese_247,32,"[31.360000000000003, 28.933333333333334, 174.72, 163.52]","[55, 46, 94, 82]",0.26979146505809914
newfoundland_5,22,"[30.912, 61.672, 96.768, 122.75200000000001]","[36, 98, 68, 67]",0.38355122437255507
scottish_terrier_97,30,"[66.52799999999999, 9.408, 120.06400000000001, 214.592]","[111, 174, 5, 3]",0.0005821902441374143
miniature_pinscher_45,33,"[54.432, 91.84, 98.11200000000001, 132.16]","[45, 105, 16, 14]",0.007020024427290842
scottish_terrier_74,30,"[11.200000000000001, 25.96, 209.216, 170.24]","[137, 47, 87, 56]",0.13041888138198235
samoyed_35,29,"[38.344, 32.256, 147.84, 191.744]","[60, 90, 91, 43]",0.13803719036998827
english_cocker_spaniel_84,12,"[20.608, 39.688, 203.392, 146.496]","[32, 83, 93, 71]",0.2216060760227382
great_pyrenees_37,15,"[21.504, 87.584, 150.08, 79.296]","[110, 73, 66, 62]",0.22337177021738908
Egyptian_Mau_3,11,"[62.25090909090909, 7.330909090909091, 97.74545454545455, 210.96727272727273]","[73, 24, 60, 71]",0.20658459827584508
Siamese_80,32,"[3.584, 47.263999999999996, 178.304, 133.504]","[70, 70, 85, 71]",0.25352565317255366
pomeranian_51,24,"[69.44, 55.328, 64.512, 86.912]","[67, 61, 61, 57]",0.5809173026711468
Egyptian_Mau_2,11,"[39.42560553633218, 22.47750865051903, 124.78892733564014, 188.34602076124568]","[81, 57, 69, 67]",0.19669412697287908
basset_hound_54,3,"[51.072, 36.512, 106.176, 127.68]","[72, 102, 65, 55]",0.2637101295659281
american_pit_bull_terrier_90,2,"[65.224, 62.272, 120.96000000000001, 160.38400000000001]","[64, 79, 101, 83]",0.424651861495895
english_cocker_spaniel_93,13,"[38.344, 20.608, 147.392, 175.616]","[98, 105, 61, 61]",0.1437545756683512
beagle_83,3,"[38.528, 57.568, 185.472, 137.536]","[44, 133, 21, 17]",0.013995018326690539
pomeranian_29,24,"[37.448, 22.848, 145.15200000000002, 190.4]","[71, 35, 79, 67]",0.1915190265921183
yorkshire_terrier_90,36,"[37.448, 16.576, 147.84, 207.424]","[72, 59, 72, 82]",0.1925286607869144
scottish_terrier_95,30,"[7.6160000000000005, 44.272, 133.056, 124.544]","[84, 57, 66, 57]",0.1888732828831535
american_pit_bull_terrier_89,14,"[107.968, 72.29599999999999, 58.24, 84.224]","[98, 72, 31, 57]",0.2176430677431444
american_bulldog_85,8,"[48.832, 28.448, 139.328, 140.672]","[127, 76, 34, 56]",0.09714509536585436
keeshond_49,18,"[70.56, 64.512, 89.152, 124.096]","[74, 65, 77, 90]",0.6263893442198097
miniature_pinscher_96,21,"[86.016, 45.512, 98.56, 140.224]","[94, 53, 64, 60]",0.27784857771165394
pug_52,25,"[6.72, 40.136, 191.744, 145.6]","[66, 40, 73, 64]",0.16693269497996238
wheaten_terrier_85,35,"[110.432, 30.016000000000002, 85.568, 190.4]","[103, 34, 65, 65]",0.22306225456070125
Persian_55,23,"[4.48, 11.064, 195.776, 206.08]","[116, 36, 60, 61]",0.09071639612466217
Birman_5,6,"[31.808, 40.136, 179.648, 135.296]","[44, 44, 77, 66]",0.20908713758413805
leonberger_50,19,"[0.448, 30.240000000000002, 223.104, 165.76]","[29, 44, 89, 108]",0.2599122012041547
english_setter_39,13,"[77.056, 47.263999999999996, 89.60000000000001, 143.36]","[96, 126, 52, 63]",0.2550397600446428
Persian_53,23,"[75.488, 26.432000000000002, 120.06400000000001, 197.568]","[99, 42, 61, 60]",0.15429493644853615
basset_hound_61,3,"[111.552, 38.0, 95.872, 120.512]","[124, 91, 70, 63]",0.3816950326581663
basset_hound_74,3,"[50.624, 60.832, 120.96000000000001, 142.016]","[54, 96, 77, 68]",0.3048039448867525
